Freq.	V(n008)
1.00000000000000e+01	(1.48936057333977e+01dB,9.04167850207631e+00°)
1.01109090909091e+04	(1.50012999411705e+01dB,-1.38128834536235e+00°)
2.02118181818182e+04	(1.49984741596022e+01dB,-2.77447348484642e+00°)
3.03127272727273e+04	(1.49937677024914e+01dB,-4.16414705274638e+00°)
4.04136363636364e+04	(1.49871837027736e+01dB,-5.55230848196598e+00°)
5.05145454545454e+04	(1.49787264642022e+01dB,-6.93915677998499e+00°)
6.06154545454545e+04	(1.49684014949396e+01dB,-8.32459186493472e+00°)
7.07163636363636e+04	(1.49562154984857e+01dB,-9.70842951618009e+00°)
8.08172727272727e+04	(1.49421763585259e+01dB,-1.10904553816922e+01°)
9.09181818181818e+04	(1.49262931205120e+01dB,-1.24704432003472e+01°)
1.01019090909091e+05	(1.49085759705008e+01dB,-1.38481622798024e+01°)
1.11120000000000e+05	(1.48890362114557e+01dB,-1.52233810600964e+01°)
1.21220909090909e+05	(1.48676862371571e+01dB,-1.65958690394252e+01°)
1.31321818181818e+05	(1.48445395038630e+01dB,-1.79653979372140e+01°)
1.41422727272727e+05	(1.48196104998602e+01dB,-1.93317424691214e+01°)
1.51523636363636e+05	(1.47929147130582e+01dB,-2.06946809084498e+01°)
1.61624545454545e+05	(1.47644685967770e+01dB,-2.20539955209036e+01°)
1.71725454545455e+05	(1.47342895338916e+01dB,-2.34094729184946e+01°)
1.81826363636364e+05	(1.47023957994962e+01dB,-2.47609043578631e+01°)
1.91927272727273e+05	(1.46688065222554e+01dB,-2.61080859975233e+01°)
2.02028181818182e+05	(1.46335416446113e+01dB,-2.74508191226603e+01°)
2.12129090909091e+05	(1.45966218820169e+01dB,-2.87889103427872e+01°)
2.22230000000000e+05	(1.45580686813638e+01dB,-3.01221717656398e+01°)
2.32330909090909e+05	(1.45179041787721e+01dB,-3.14504211495467e+01°)
2.42431818181818e+05	(1.44761511569074e+01dB,-3.27734820358265e+01°)
2.52532727272727e+05	(1.44328330019853e+01dB,-3.40911838623551e+01°)
2.62633636363636e+05	(1.43879736606203e+01dB,-3.54033620591934e+01°)
2.72734545454545e+05	(1.43415975966699e+01dB,-3.67098581270305e+01°)
2.82835454545455e+05	(1.42937297482186e+01dB,-3.80105196991103e+01°)
2.92936363636364e+05	(1.42443954848403e+01dB,-3.93052005872750e+01°)
3.03037272727273e+05	(1.41936205652693e+01dB,-4.05937608127403e+01°)
