time	I(C1)	I(L1)	I(R2)
0.000000000000000e+00	2.249757e-20	4.499514e+00	-3.599611e-05
1.000000000000000e-06	2.637535e-11	4.499514e+00	-3.599611e-05
1.000879999959150e-06	-2.999546e+00	4.499514e+00	-3.177275e-05
1.143086704721462e-05	-2.949750e+00	4.499339e+00	4.958852e-02
2.186085409447009e-05	-2.900454e+00	4.498857e+00	9.840265e-02
3.229084114172556e-05	-2.851655e+00	4.498066e+00	1.464106e-01
4.272082818898104e-05	-2.803355e+00	4.496968e+00	1.936125e-01
5.315081523623651e-05	-2.755554e+00	4.495562e+00	2.400081e-01
6.358080228349197e-05	-2.708251e+00	4.493849e+00	2.855976e-01
7.401078933074742e-05	-2.661446e+00	4.491827e+00	3.303810e-01
1.033076643307474e-04	-2.532552e+00	4.484655e+00	4.521020e-01
1.479505214736046e-04	-2.343984e+00	4.468743e+00	6.247577e-01
1.925933786164618e-04	-2.163351e+00	4.449012e+00	7.856592e-01
2.372362357593190e-04	-1.990653e+00	4.425461e+00	9.348068e-01
2.818790929021762e-04	-1.825888e+00	4.398090e+00	1.072200e+00
3.265219500450334e-04	-1.669058e+00	4.366900e+00	1.197840e+00
3.711648071878906e-04	-1.520162e+00	4.331889e+00	1.311725e+00
4.158076643307477e-04	-1.379201e+00	4.293059e+00	1.413857e+00
4.730063250450335e-04	-1.209345e+00	4.239178e+00	1.529831e+00
5.302049857593193e-04	-1.049500e+00	4.182547e+00	1.633045e+00
5.874036464736050e-04	-8.996649e-01	4.123167e+00	1.723500e+00
6.446023071878908e-04	-7.598410e-01	4.061039e+00	1.801195e+00
7.018009679021766e-04	-6.300278e-01	3.996161e+00	1.866131e+00
7.589996286164624e-04	-5.102253e-01	3.928535e+00	1.918307e+00
8.161982893307480e-04	-4.004335e-01	3.858159e+00	1.957723e+00
8.482853429021767e-04	-3.421089e-01	3.818568e+00	1.976456e+00
8.803723964736052e-04	-2.861893e-01	3.778761e+00	1.992569e+00
9.124594500450338e-04	-2.326745e-01	3.738738e+00	2.006061e+00
9.445465036164624e-04	-1.815647e-01	3.698499e+00	2.016932e+00
9.766335571878911e-04	-1.328598e-01	3.658044e+00	2.025182e+00
1.008720610759320e-03	-8.655989e-02	3.617374e+00	2.030811e+00
1.040807664330748e-03	-4.266487e-02	3.576488e+00	2.033820e+00
1.050573289330748e-03	-2.968429e-02	3.564072e+00	2.034385e+00
1.060338914330748e-03	-1.690215e-02	3.551654e+00	2.034749e+00
1.070104539330748e-03	-4.316577e-03	3.539234e+00	2.034915e+00
1.079870164330748e-03	8.074284e-03	3.526814e+00	2.034885e+00
1.089635789330748e-03	2.027228e-02	3.514395e+00	2.034664e+00
1.099401414330748e-03	3.227924e-02	3.501977e+00	2.034253e+00
1.118932664330748e-03	5.572736e-02	3.477152e+00	2.032877e+00
1.138463914330748e-03	7.843313e-02	3.452349e+00	2.030779e+00
1.167760789330748e-03	1.111311e-01	3.415202e+00	2.026331e+00
1.197057664330748e-03	1.422386e-01	3.378151e+00	2.020387e+00
1.244490700045034e-03	1.889027e-01	3.318220e+00	2.007120e+00
1.291923735759320e-03	2.321662e-01	3.258935e+00	1.991098e+00
1.339356771473606e-03	2.720291e-01	3.200294e+00	1.972321e+00
