Freq.	V(n008)
1.00000000000000e+02	(8.77401528130439e+00dB,-1.78794453015348e+02°)
1.00230523807790e+02	(8.77402426252918e+00dB,-1.78797271474852e+02°)
1.00461579027839e+02	(8.77403320250444e+00dB,-1.78800083565290e+02°)
1.00693166885180e+02	(8.77404210141954e+00dB,-1.78802889301519e+02°)
1.00925288607668e+02	(8.77405095946294e+00dB,-1.78805688698362e+02°)
1.01157945425990e+02	(8.77405977682226e+00dB,-1.78808481770610e+02°)
1.01391138573668e+02	(8.77406855368422e+00dB,-1.78811268533019e+02°)
1.01624869287070e+02	(8.77407729023474e+00dB,-1.78814049000314e+02°)
1.01859138805412e+02	(8.77408598665884e+00dB,-1.78816823187184e+02°)
1.02093948370768e+02	(8.77409464314072e+00dB,-1.78819591108287e+02°)
1.02329299228075e+02	(8.77410325986373e+00dB,-1.78822352778249e+02°)
1.02565192625141e+02	(8.77411183701036e+00dB,-1.78825108211661e+02°)
1.02801629812647e+02	(8.77412037476228e+00dB,-1.78827857423083e+02°)
1.03038612044162e+02	(8.77412887330034e+00dB,-1.78830600427041e+02°)
1.03276140576140e+02	(8.77413733280452e+00dB,-1.78833337238030e+02°)
1.03514216667934e+02	(8.77414575345402e+00dB,-1.78836067870512e+02°)
1.03752841581801e+02	(8.77415413542718e+00dB,-1.78838792338915e+02°)
1.03992016582906e+02	(8.77416247890155e+00dB,-1.78841510657636e+02°)
1.04231742939330e+02	(8.77417078405384e+00dB,-1.78844222841040e+02°)
1.04472021922080e+02	(8.77417905105998e+00dB,-1.78846928903460e+02°)
1.04712854805090e+02	(8.77418728009506e+00dB,-1.78849628859195e+02°)
1.04954242865232e+02	(8.77419547133341e+00dB,-1.78852322722514e+02°)
1.05196187382322e+02	(8.77420362494850e+00dB,-1.78855010507654e+02°)
1.05438689639126e+02	(8.77421174111305e+00dB,-1.78857692228818e+02°)
1.05681750921366e+02	(8.77421981999898e+00dB,-1.78860367900178e+02°)
1.05925372517729e+02	(8.77422786177742e+00dB,-1.78863037535877e+02°)
1.06169555719872e+02	(8.77423586661870e+00dB,-1.78865701150022e+02°)
1.06414301822431e+02	(8.77424383469239e+00dB,-1.78868358756692e+02°)
1.06659612123026e+02	(8.77425176616726e+00dB,-1.78871010369931e+02°)
1.06905487922266e+02	(8.77425966121133e+00dB,-1.78873656003755e+02°)
1.07151930523760e+02	(8.77426751999183e+00dB,-1.78876295672147e+02°)
1.07398941234124e+02	(8.77427534267523e+00dB,-1.78878929389058e+02°)
1.07646521362983e+02	(8.77428312942723e+00dB,-1.78881557168408e+02°)
1.07894672222983e+02	(8.77429088041279e+00dB,-1.78884179024088e+02°)
1.08143395129794e+02	(8.77429859579610e+00dB,-1.78886794969954e+02°)
1.08392691402120e+02	(8.77430627574057e+00dB,-1.78889405019835e+02°)
1.08642562361706e+02	(8.77431392040892e+00dB,-1.78892009187526e+02°)
1.08893009333343e+02	(8.77432152996306e+00dB,-1.78894607486792e+02°)
1.09144033644875e+02	(8.77432910456421e+00dB,-1.78897199931368e+02°)
1.09395636627209e+02	(8.77433664437281e+00dB,-1.78899786534958e+02°)
1.09647819614318e+02	(8.77434414954859e+00dB,-1.78902367311235e+02°)
1.09900583943252e+02	(8.77435162025053e+00dB,-1.78904942273841e+02°)
1.10153930954141e+02	(8.77435905663689e+00dB,-1.78907511436387e+02°)
1.10407861990207e+02	(8.77436645886521e+00dB,-1.78910074812456e+02°)
1.10662378397766e+02	(8.77437382709230e+00dB,-1.78912632415597e+02°)
1.10917481526240e+02	(8.77438116147423e+00dB,-1.78915184259332e+02°)
1.11173172728159e+02	(8.77438846216640e+00dB,-1.78917730357152e+02°)
1.11429453359173e+02	(8.77439572932345e+00dB,-1.78920270722515e+02°)
1.11686324778056e+02	(8.77440296309935e+00dB,-1.78922805368853e+02°)
1.11943788346715e+02	(8.77441016364733e+00dB,-1.78925334309564e+02°)
1.12201845430196e+02	(8.77441733111994e+00dB,-1.78927857558020e+02°)
1.12460497396692e+02	(8.77442446566901e+00dB,-1.78930375127560e+02°)
1.12719745617551e+02	(8.77443156744570e+00dB,-1.78932887031495e+02°)
1.12979591467279e+02	(8.77443863660046e+00dB,-1.78935393283104e+02°)
1.13240036323555e+02	(8.77444567328304e+00dB,-1.78937893895639e+02°)
1.13501081567231e+02	(8.77445267764252e+00dB,-1.78940388882321e+02°)
1.13762728582343e+02	(8.77445964982729e+00dB,-1.78942878256340e+02°)
1.14024978756116e+02	(8.77446658998506e+00dB,-1.78945362030860e+02°)
1.14287833478977e+02	(8.77447349826285e+00dB,-1.78947840219013e+02°)
1.14551294144553e+02	(8.77448037480703e+00dB,-1.78950312833902e+02°)
1.14815362149688e+02	(8.77448721976329e+00dB,-1.78952779888600e+02°)
1.15080038894443e+02	(8.77449403327663e+00dB,-1.78955241396153e+02°)
1.15345325782109e+02	(8.77450081549141e+00dB,-1.78957697369576e+02°)
1.15611224219210e+02	(8.77450756655131e+00dB,-1.78960147821856e+02°)
1.15877735615512e+02	(8.77451428659937e+00dB,-1.78962592765949e+02°)
1.16144861384034e+02	(8.77452097577796e+00dB,-1.78965032214784e+02°)
1.16412602941049e+02	(8.77452763422879e+00dB,-1.78967466181261e+02°)
1.16680961706096e+02	(8.77453426209294e+00dB,-1.78969894678251e+02°)
1.16949939101987e+02	(8.77454085951083e+00dB,-1.78972317718595e+02°)
1.17219536554813e+02	(8.77454742662223e+00dB,-1.78974735315106e+02°)
1.17489755493953e+02	(8.77455396356629e+00dB,-1.78977147480569e+02°)
1.17760597352080e+02	(8.77456047048149e+00dB,-1.78979554227740e+02°)
1.18032063565173e+02	(8.77456694750570e+00dB,-1.78981955569347e+02°)
1.18304155572516e+02	(8.77457339477614e+00dB,-1.78984351518088e+02°)
1.18576874816716e+02	(8.77457981242943e+00dB,-1.78986742086635e+02°)
1.18850222743701e+02	(8.77458620060153e+00dB,-1.78989127287629e+02°)
1.19124200802737e+02	(8.77459255942778e+00dB,-1.78991507133686e+02°)
1.19398810446427e+02	(8.77459888904292e+00dB,-1.78993881637390e+02°)
1.19674053130724e+02	(8.77460518958105e+00dB,-1.78996250811300e+02°)
1.19949930314937e+02	(8.77461146117566e+00dB,-1.78998614667945e+02°)
1.20226443461741e+02	(8.77461770395964e+00dB,-1.79000973219829e+02°)
1.20503594037179e+02	(8.77462391806527e+00dB,-1.79003326479423e+02°)
1.20781383510677e+02	(8.77463010362419e+00dB,-1.79005674459175e+02°)
1.21059813355048e+02	(8.77463626076747e+00dB,-1.79008017171503e+02°)
1.21338885046497e+02	(8.77464238962558e+00dB,-1.79010354628798e+02°)
1.21618600064636e+02	(8.77464849032835e+00dB,-1.79012686843422e+02°)
1.21898959892486e+02	(8.77465456300507e+00dB,-1.79015013827711e+02°)
1.22179966016487e+02	(8.77466060778440e+00dB,-1.79017335593972e+02°)
1.22461619926504e+02	(8.77466662479442e+00dB,-1.79019652154487e+02°)
1.22743923115840e+02	(8.77467261416262e+00dB,-1.79021963521508e+02°)
1.23026877081238e+02	(8.77467857601591e+00dB,-1.79024269707260e+02°)
1.23310483322890e+02	(8.77468451048060e+00dB,-1.79026570723942e+02°)
1.23594743344450e+02	(8.77469041768246e+00dB,-1.79028866583726e+02°)
1.23879658653036e+02	(8.77469629774663e+00dB,-1.79031157298755e+02°)
1.24165230759240e+02	(8.77470215079772e+00dB,-1.79033442881146e+02°)
1.24451461177138e+02	(8.77470797695975e+00dB,-1.79035723342989e+02°)
1.24738351424294e+02	(8.77471377635615e+00dB,-1.79037998696348e+02°)
1.25025903021771e+02	(8.77471954910982e+00dB,-1.79040268953257e+02°)
1.25314117494141e+02	(8.77472529534309e+00dB,-1.79042534125727e+02°)
1.25602996369487e+02	(8.77473101517770e+00dB,-1.79044794225740e+02°)
1.25892541179416e+02	(8.77473670873487e+00dB,-1.79047049265251e+02°)
1.26182753459066e+02	(8.77474237613523e+00dB,-1.79049299256191e+02°)
1.26473634747114e+02	(8.77474801749887e+00dB,-1.79051544210460e+02°)
1.26765186585784e+02	(8.77475363294533e+00dB,-1.79053784139936e+02°)
1.27057410520853e+02	(8.77475922259361e+00dB,-1.79056019056468e+02°)
1.27350308101665e+02	(8.77476478656213e+00dB,-1.79058248971879e+02°)
1.27643880881134e+02	(8.77477032496882e+00dB,-1.79060473897966e+02°)
1.27938130415752e+02	(8.77477583793101e+00dB,-1.79062693846499e+02°)
1.28233058265601e+02	(8.77478132556555e+00dB,-1.79064908829223e+02°)
1.28528665994361e+02	(8.77478678798870e+00dB,-1.79067118857856e+02°)
1.28824955169313e+02	(8.77479222531622e+00dB,-1.79069323944091e+02°)
1.29121927361353e+02	(8.77479763766333e+00dB,-1.79071524099592e+02°)
1.29419584144998e+02	(8.77480302514471e+00dB,-1.79073719336001e+02°)
1.29717927098395e+02	(8.77480838787453e+00dB,-1.79075909664931e+02°)
1.30016957803328e+02	(8.77481372596644e+00dB,-1.79078095097971e+02°)
