;Scopy version,8ade0b5a
;Exported on,Friday March 21/03/2025
;Device,M2K
;Nr of samples,1000
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,100,14.0965,59.0751
1,100.926,14.1498,58.5577
2,101.861,14.1947,58.8743
3,102.804,14.2612,58.5346
4,103.757,14.4046,58.395
5,104.718,14.296,57.6554
6,105.688,14.4011,58.0644
7,106.666,14.4785,57.3537
8,107.654,14.5434,57.2353
9,108.652,14.6125,56.9729
10,109.658,14.6919,56.5474
11,110.674,14.7671,56.8676
12,111.699,14.7208,56.6299
13,112.733,14.8316,56.3205
14,113.777,14.8984,55.8759
15,114.831,14.956,55.6405
16,115.895,14.9686,55.5776
17,116.968,15.1253,55.2581
18,118.052,15.1076,55.1964
19,119.145,15.1227,54.5904
20,120.249,15.2092,54.1152
21,121.362,15.2191,54.5542
22,122.486,15.2988,54.3085
23,123.621,15.3653,53.7563
24,124.766,15.4316,53.4057
25,125.922,15.5278,53.3372
26,127.088,15.4859,52.7068
27,128.265,15.5564,53.1481
28,129.453,15.6577,52.5791
29,130.652,15.666,52.1193
30,131.862,15.6723,52.2487
31,133.083,15.7611,51.7171
32,134.316,15.7759,50.8413
33,135.56,15.8363,51.4357
34,136.816,15.9168,50.9335
35,138.083,15.9306,50.2259
36,139.362,15.993,50.098
37,140.653,16.0636,50.1202
38,141.955,16.1302,50.3951
39,143.27,16.1714,49.2644
40,144.597,16.2224,49.3469
41,145.937,16.2325,49.1878
42,147.288,16.306,48.2877
43,148.652,16.3694,48.8153
44,150.029,16.3808,48.2203
45,151.419,16.4363,48.0668
46,152.821,16.5607,47.5462
47,154.237,16.5024,48.0885
48,155.665,16.5553,47.5573
49,157.107,16.6114,46.8661
50,158.562,16.6487,46.8428
51,160.031,16.6853,47.2195
52,161.513,16.7455,45.7516
53,163.009,16.7141,45.7459
54,164.519,16.7655,46.0962
55,166.043,16.8667,45.2182
56,167.581,16.8793,45.1236
57,169.133,16.9226,45.0042
58,170.699,16.9712,44.6493
59,172.281,17.005,44.5489
60,173.876,17.0472,44.2974
61,175.487,17.1228,44.6705
62,177.112,17.0337,43.9642
63,178.753,17.2369,43.7406
64,180.408,17.1028,43.2561
65,182.079,17.3425,42.9624
66,183.766,17.2223,42.372
67,185.468,17.3235,41.897
68,187.186,17.2624,42.1912
69,188.919,17.413,42.5814
70,190.669,17.4425,42.3883
71,192.435,17.5436,41.6886
72,194.217,17.5029,41.774
73,196.016,17.5513,40.917
74,197.832,17.5696,40.5903
75,199.664,17.5952,40.2302
76,201.514,17.662,40.3568
77,203.38,17.6682,40.2304
78,205.264,17.7136,39.3528
79,207.165,17.6865,39.1886
80,209.084,17.7013,39.1291
81,211.02,17.8096,38.3815
82,212.975,17.7248,38.4984
83,214.947,17.8815,38.3374
84,216.938,17.8932,38.292
85,218.948,17.9387,37.6881
86,220.976,17.941,37.2675
87,223.022,18.0596,37.5905
88,225.088,17.9983,36.4753
89,227.173,18.0409,36.8108
90,229.277,18.0775,36.8458
91,231.401,18.1553,36.0917
92,233.544,18.1249,36.5864
93,235.707,18.0709,35.9342
94,237.89,18.2056,35.5537
95,240.093,18.219,35.1513
96,242.317,18.3205,35.4695
97,244.562,18.3492,34.4536
98,246.827,18.304,34.6504
99,249.113,18.3115,34.23
100,251.42,18.3954,34.5765
101,253.749,18.291,33.9867
102,256.099,18.4327,33.6978
103,258.471,18.4525,33.1858
104,260.865,18.3925,33.5149
105,263.282,18.5711,32.6663
106,265.72,18.5487,32.7991
107,268.181,18.4677,32.417
108,270.665,18.4781,32.5755
109,273.172,18.6115,31.998
