;Scopy version,8ade0b5a
;Exported on,Friday March 21/03/2025
;Device,M2K
;Nr of samples,1000
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,100,8.82757,11.7033
1,100.926,8.63272,11.4554
2,101.861,8.68125,11.1605
3,102.804,8.67986,11.263
4,103.757,8.69299,11.1358
5,104.718,8.69033,11.0613
6,105.688,8.72389,11.9435
7,106.666,8.66634,10.7497
8,107.654,8.69696,10.7172
9,108.652,8.69751,10.6239
10,109.658,8.70453,10.4639
11,110.674,8.72543,10.4415
12,111.699,8.73008,11.1288
13,112.733,8.70488,10.3466
14,113.777,8.69639,10.1638
15,114.831,8.68727,10.0717
16,115.895,8.72828,9.95738
17,116.968,8.71988,9.60454
18,118.052,8.78274,10.4136
19,119.145,8.71287,9.7041
20,120.249,8.71992,9.50926
21,121.362,8.6897,9.46856
22,122.486,8.78828,10.0759
23,123.621,8.72279,9.3409
24,124.766,8.72199,9.23728
25,125.922,8.7356,9.14163
26,127.088,8.72805,9.12247
27,128.265,8.73947,9.1192
28,129.453,8.73673,8.88741
29,130.652,8.72587,8.81684
30,131.862,8.72986,8.5386
31,133.083,8.73704,8.53031
32,134.316,8.72829,8.74361
33,135.56,8.73195,8.61956
34,136.816,8.75169,8.32034
35,138.083,8.73706,8.08923
36,139.362,8.75534,8.44296
37,140.653,8.74896,8.06475
38,141.955,8.76731,7.87364
39,143.27,8.7854,8.08886
40,144.597,8.74138,7.82052
41,145.937,8.76403,7.89079
42,147.288,8.74471,7.80166
43,148.652,8.76498,7.69621
44,150.029,8.76683,7.72216
45,151.419,8.75478,7.44994
46,152.821,8.77084,7.74227
47,154.237,8.75234,7.35424
48,155.665,8.75837,7.26888
49,157.107,8.76622,7.22787
50,158.562,8.74613,7.25284
51,160.031,8.79536,7.12984
52,161.513,8.75755,7.17547
53,163.009,8.78758,7.09751
54,164.519,8.75785,6.93804
55,166.043,8.76188,6.99318
56,167.581,8.78855,6.70781
57,169.133,8.76,6.80082
58,170.699,8.75999,6.68116
59,172.281,8.76049,6.64643
60,173.876,8.78174,6.56181
61,175.487,8.74164,6.59671
62,177.112,8.76856,6.20724
63,178.753,8.77257,6.45537
64,180.408,8.81968,6.27279
65,182.079,8.78215,6.33369
66,183.766,8.75958,6.23995
67,185.468,8.7821,6.34448
68,187.186,8.80502,6.05579
69,188.919,8.82433,6.05757
70,190.669,8.74936,5.94851
71,192.435,8.80563,5.60631
72,194.217,8.75356,5.72222
73,196.016,8.83907,5.56403
74,197.832,8.81109,5.63382
75,199.664,8.79532,5.56958
76,201.514,8.79675,5.55901
77,203.38,8.80396,5.5708
78,205.264,8.83065,5.46899
79,207.165,8.79227,5.27378
80,209.084,8.77081,5.27549
81,211.02,8.79817,5.4504
82,212.975,8.80904,5.3866
83,214.947,8.81837,4.97484
84,216.938,8.80731,5.13917
85,218.948,8.81208,5.12066
86,220.976,8.78731,4.91853
87,223.022,8.83105,5.10477
88,225.088,8.82921,4.67407
89,227.173,8.82124,4.65388
90,229.277,8.81028,4.89851
91,231.401,8.78909,4.82114
92,233.544,8.81669,4.83724
93,235.707,8.81796,4.40041
