Freq.	V(n002)
1.00000000000000e+02	(-4.41248649986690e+01dB,-9.11230614261514e+01°)
1.00230523807790e+02	(-4.41048701568772e+01dB,-9.11256500126161e+01°)
1.00461579027839e+02	(-4.40848753388893e+01dB,-9.11282445640499e+01°)
1.00693166885180e+02	(-4.40648805448148e+01dB,-9.11308450941875e+01°)
1.00925288607668e+02	(-4.40448857747643e+01dB,-9.11334516167944e+01°)
1.01157945425990e+02	(-4.40248910288485e+01dB,-9.11360641456690e+01°)
1.01391138573668e+02	(-4.40048963071788e+01dB,-9.11386826946394e+01°)
1.01624869287070e+02	(-4.39849016098670e+01dB,-9.11413072775679e+01°)
1.01859138805412e+02	(-4.39649069370255e+01dB,-9.11439379083469e+01°)
1.02093948370768e+02	(-4.39449122887673e+01dB,-9.11465746009015e+01°)
1.02329299228075e+02	(-4.39249176652057e+01dB,-9.11492173691882e+01°)
1.02565192625141e+02	(-4.39049230664547e+01dB,-9.11518662271961e+01°)
1.02801629812647e+02	(-4.38849284926287e+01dB,-9.11545211889459e+01°)
1.03038612044162e+02	(-4.38649339438427e+01dB,-9.11571822684914e+01°)
1.03276140576140e+02	(-4.38449394202123e+01dB,-9.11598494799175e+01°)
1.03514216667934e+02	(-4.38249449218536e+01dB,-9.11625228373422e+01°)
1.03752841581801e+02	(-4.38049504488830e+01dB,-9.11652023549159e+01°)
1.03992016582906e+02	(-4.37849560014177e+01dB,-9.11678880468215e+01°)
1.04231742939330e+02	(-4.37649615795755e+01dB,-9.11705799272740e+01°)
1.04472021922080e+02	(-4.37449671834744e+01dB,-9.11732780105216e+01°)
1.04712854805090e+02	(-4.37249728132334e+01dB,-9.11759823108446e+01°)
1.04954242865232e+02	(-4.37049784689716e+01dB,-9.11786928425571e+01°)
1.05196187382322e+02	(-4.36849841508089e+01dB,-9.11814096200047e+01°)
1.05438689639126e+02	(-4.36649898588658e+01dB,-9.11841326575672e+01°)
1.05681750921366e+02	(-4.36449955932632e+01dB,-9.11868619696573e+01°)
1.05925372517729e+02	(-4.36250013541226e+01dB,-9.11895975707198e+01°)
