;Scopy version,b3d077f6
;Exported on,Thursday April 17/04/2025
;Device,M2K
;Nr of samples,50
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,7.5,-9.55044,-94.5369
1,9.54227,-7.51439,-94.803
2,12.1407,-5.4938,-95.1907
3,15.4466,-3.48469,-95.7427
4,19.6528,-1.43922,-96.4492
5,25.0043,0.584019,-97.3404
6,31.813,2.6042,-98.5503
7,40.4758,4.65196,-100.082
8,51.4975,6.6619,-102.022
9,65.5204,8.71612,-104.774
10,83.3618,10.7173,-107.707
11,106.061,12.7342,-111.642
12,134.942,14.6619,-117.345
13,171.688,16.3837,-124.848
14,218.439,17.6398,-134.207
15,277.92,18.2942,-145.428
16,353.599,18.4514,-160.456
17,449.885,18.4971,-175.126
18,572.39,18.3668,171.705
19,728.253,17.9604,162.705
20,926.559,17.4933,157.653
21,1178.86,16.9583,153.97
22,1499.87,16.498,149.007
23,1908.29,15.8221,143.065
24,2427.93,14.4466,139.145
25,3089.06,13.1558,137.775
26,3930.22,12.4155,138.737
27,5000.43,12.1806,134.045
28,6362.06,11.7318,126.194
29,8094.47,10.8459,114.813
30,10298.6,9.39684,103.891
31,13103,7.56295,93.1259
32,16670.9,5.44303,84.2508
33,21210.5,3.42694,73.7457
34,26986.2,1.06989,63.2198
35,34334.6,-1.32798,52.5492
36,43684,-3.80741,41.8022
37,55579.3,-6.36358,28.5423
38,70713.7,-8.90673,16.1246
39,89969.3,-11.3937,3.25552
40,114468,-13.5031,-10.1148
41,145638,-15.4324,-24.2599
42,185296,-17.155,-39.3366
43,235753,-18.6829,-57.5981
44,299949,-20.0242,-78.8646
45,381626,-21.5403,-101.143
46,485544,-23.1898,-130.511
47,617759,-24.8109,-162.995
48,785976,-25.9152,160.659
49,1e+06,-26.4913,128.084
