Freq.	V(n010)
1.00000000000000e+00	(-2.47928402461284e+01dB,-9.03784887189621e+01°)
1.00230523807790e+00	(-2.47728403127011e+01dB,-9.03793612394648e+01°)
1.00461579027839e+00	(-2.47528403795812e+01dB,-9.03802357714312e+01°)
1.00693166885180e+00	(-2.47328404467701e+01dB,-9.03811123194990e+01°)
1.00925288607668e+00	(-2.47128405142692e+01dB,-9.03819908883164e+01°)
1.01157945425990e+00	(-2.46928405820800e+01dB,-9.03828714825425e+01°)
1.01391138573668e+00	(-2.46728406502040e+01dB,-9.03837541068470e+01°)
1.01624869287070e+00	(-2.46528407186425e+01dB,-9.03846387659103e+01°)
1.01859138805412e+00	(-2.46328407873970e+01dB,-9.03855254644237e+01°)
1.02093948370768e+00	(-2.46128408564689e+01dB,-9.03864142070894e+01°)
1.02329299228075e+00	(-2.45928409258599e+01dB,-9.03873049986204e+01°)
1.02565192625141e+00	(-2.45728409955712e+01dB,-9.03881978437403e+01°)
1.02801629812647e+00	(-2.45528410656044e+01dB,-9.03890927471841e+01°)
1.03038612044162e+00	(-2.45328411359610e+01dB,-9.03899897136972e+01°)
1.03276140576140e+00	(-2.45128412066425e+01dB,-9.03908887480364e+01°)
1.03514216667934e+00	(-2.44928412776504e+01dB,-9.03917898549691e+01°)
1.03752841581801e+00	(-2.44728413489861e+01dB,-9.03926930392740e+01°)
1.03992016582906e+00	(-2.44528414206513e+01dB,-9.03935983057405e+01°)
1.04231742939330e+00	(-2.44328414926473e+01dB,-9.03945056591694e+01°)
1.04472021922080e+00	(-2.44128415649758e+01dB,-9.03954151043722e+01°)
1.04712854805090e+00	(-2.43928416376383e+01dB,-9.03963266461718e+01°)
1.04954242865232e+00	(-2.43728417106363e+01dB,-9.03972402894021e+01°)
1.05196187382322e+00	(-2.43528417839714e+01dB,-9.03981560389082e+01°)
1.05438689639126e+00	(-2.43328418576451e+01dB,-9.03990738995462e+01°)
1.05681750921366e+00	(-2.43128419316590e+01dB,-9.03999938761836e+01°)
1.05925372517729e+00	(-2.42928420060147e+01dB,-9.04009159736991e+01°)
1.06169555719872e+00	(-2.42728420807137e+01dB,-9.04018401969827e+01°)
1.06414301822431e+00	(-2.42528421557577e+01dB,-9.04027665509354e+01°)
1.06659612123026e+00	(-2.42328422311482e+01dB,-9.04036950404697e+01°)
1.06905487922266e+00	(-2.42128423068868e+01dB,-9.04046256705096e+01°)
1.07151930523760e+00	(-2.41928423829752e+01dB,-9.04055584459901e+01°)
1.07398941234124e+00	(-2.41728424594149e+01dB,-9.04064933718579e+01°)
1.07646521362983e+00	(-2.41528425362076e+01dB,-9.04074304530709e+01°)
1.07894672222983e+00	(-2.41328426133548e+01dB,-9.04083696945985e+01°)
1.08143395129794e+00	(-2.41128426908584e+01dB,-9.04093111014215e+01°)
1.08392691402120e+00	(-2.40928427687198e+01dB,-9.04102546785324e+01°)
1.08642562361706e+00	(-2.40728428469407e+01dB,-9.04112004309351e+01°)
1.08893009333343e+00	(-2.40528429255229e+01dB,-9.04121483636448e+01°)
1.09144033644875e+00	(-2.40328430044679e+01dB,-9.04130984816886e+01°)
1.09395636627209e+00	(-2.40128430837775e+01dB,-9.04140507901051e+01°)
1.09647819614318e+00	(-2.39928431634533e+01dB,-9.04150052939443e+01°)
1.09900583943252e+00	(-2.39728432434971e+01dB,-9.04159619982683e+01°)
1.10153930954141e+00	(-2.39528433239104e+01dB,-9.04169209081506e+01°)
1.10407861990207e+00	(-2.39328434046951e+01dB,-9.04178820286762e+01°)
1.10662378397766e+00	(-2.39128434858529e+01dB,-9.04188453649422e+01°)
1.10917481526240e+00	(-2.38928435673854e+01dB,-9.04198109220573e+01°)
1.11173172728159e+00	(-2.38728436492944e+01dB,-9.04207787051419e+01°)
1.11429453359173e+00	(-2.38528437315816e+01dB,-9.04217487193284e+01°)
1.11686324778056e+00	(-2.38328438142489e+01dB,-9.04227209697608e+01°)
1.11943788346715e+00	(-2.38128438972979e+01dB,-9.04236954615953e+01°)
1.12201845430196e+00	(-2.37928439807304e+01dB,-9.04246721999996e+01°)
1.12460497396692e+00	(-2.37728440645481e+01dB,-9.04256511901536e+01°)
1.12719745617551e+00	(-2.37528441487530e+01dB,-9.04266324372490e+01°)
1.12979591467279e+00	(-2.37328442333466e+01dB,-9.04276159464896e+01°)
1.13240036323555e+00	(-2.37128443183310e+01dB,-9.04286017230910e+01°)
1.13501081567231e+00	(-2.36928444037077e+01dB,-9.04295897722811e+01°)
1.13762728582343e+00	(-2.36728444894788e+01dB,-9.04305800992997e+01°)
1.14024978756117e+00	(-2.36528445756459e+01dB,-9.04315727093988e+01°)
1.14287833478977e+00	(-2.36328446622109e+01dB,-9.04325676078421e+01°)
1.14551294144553e+00	(-2.36128447491757e+01dB,-9.04335647999061e+01°)
1.14815362149688e+00	(-2.35928448365421e+01dB,-9.04345642908789e+01°)
1.15080038894443e+00	(-2.35728449243119e+01dB,-9.04355660860612e+01°)
1.15345325782109e+00	(-2.35528450124871e+01dB,-9.04365701907657e+01°)
1.15611224219210e+00	(-2.35328451010694e+01dB,-9.04375766103173e+01°)
1.15877735615512e+00	(-2.35128451900608e+01dB,-9.04385853500535e+01°)
1.16144861384034e+00	(-2.34928452794632e+01dB,-9.04395964153237e+01°)
1.16412602941049e+00	(-2.34728453692784e+01dB,-9.04406098114899e+01°)
1.16680961706096e+00	(-2.34528454595085e+01dB,-9.04416255439265e+01°)
1.16949939101987e+00	(-2.34328455501551e+01dB,-9.04426436180201e+01°)
1.17219536554813e+00	(-2.34128456412204e+01dB,-9.04436640391699e+01°)
1.17489755493953e+00	(-2.33928457327063e+01dB,-9.04446868127874e+01°)
1.17760597352080e+00	(-2.33728458246146e+01dB,-9.04457119442968e+01°)
1.18032063565173e+00	(-2.33528459169474e+01dB,-9.04467394391345e+01°)
1.18304155572516e+00	(-2.33328460097065e+01dB,-9.04477693027498e+01°)
1.18576874816716e+00	(-2.33128461028941e+01dB,-9.04488015406042e+01°)
1.18850222743701e+00	(-2.32928461965120e+01dB,-9.04498361581722e+01°)
1.19124200802737e+00	(-2.32728462905622e+01dB,-9.04508731609405e+01°)
1.19398810446427e+00	(-2.32528463850467e+01dB,-9.04519125544088e+01°)
1.19674053130724e+00	(-2.32328464799677e+01dB,-9.04529543440893e+01°)
1.19949930314937e+00	(-2.32128465753269e+01dB,-9.04539985355070e+01°)
1.20226443461741e+00	(-2.31928466711266e+01dB,-9.04550451341996e+01°)
1.20503594037179e+00	(-2.31728467673686e+01dB,-9.04560941457176e+01°)
1.20781383510677e+00	(-2.31528468640552e+01dB,-9.04571455756243e+01°)
1.21059813355048e+00	(-2.31328469611882e+01dB,-9.04581994294957e+01°)
1.21338885046497e+00	(-2.31128470587698e+01dB,-9.04592557129210e+01°)
1.21618600064636e+00	(-2.30928471568021e+01dB,-9.04603144315018e+01°)
1.21898959892486e+00	(-2.30728472552871e+01dB,-9.04613755908532e+01°)
1.22179966016487e+00	(-2.30528473542270e+01dB,-9.04624391966027e+01°)
1.22461619926504e+00	(-2.30328474536237e+01dB,-9.04635052543912e+01°)
1.22743923115840e+00	(-2.30128475534795e+01dB,-9.04645737698724e+01°)
1.23026877081238e+00	(-2.29928476537965e+01dB,-9.04656447487129e+01°)
1.23310483322890e+00	(-2.29728477545767e+01dB,-9.04667181965928e+01°)
1.23594743344450e+00	(-2.29528478558224e+01dB,-9.04677941192051e+01°)
1.23879658653036e+00	(-2.29328479575357e+01dB,-9.04688725222556e+01°)
1.24165230759240e+00	(-2.29128480597187e+01dB,-9.04699534114638e+01°)
1.24451461177138e+00	(-2.28928481623736e+01dB,-9.04710367925621e+01°)
1.24738351424294e+00	(-2.28728482655026e+01dB,-9.04721226712960e+01°)
1.25025903021771e+00	(-2.28528483691079e+01dB,-9.04732110534247e+01°)
1.25314117494141e+00	(-2.28328484731917e+01dB,-9.04743019447201e+01°)
1.25602996369487e+00	(-2.28128485777562e+01dB,-9.04753953509680e+01°)
1.25892541179416e+00	(-2.27928486828036e+01dB,-9.04764912779671e+01°)
1.26182753459066e+00	(-2.27728487883362e+01dB,-9.04775897315297e+01°)
1.26473634747114e+00	(-2.27528488943561e+01dB,-9.04786907174816e+01°)
1.26765186585784e+00	(-2.27328490008657e+01dB,-9.04797942416616e+01°)
1.27057410520853e+00	(-2.27128491078672e+01dB,-9.04809003099224e+01°)
1.27350308101665e+00	(-2.26928492153629e+01dB,-9.04820089281301e+01°)
1.27643880881134e+00	(-2.26728493233550e+01dB,-9.04831201021642e+01°)
1.27938130415752e+00	(-2.26528494318459e+01dB,-9.04842338379180e+01°)
1.28233058265601e+00	(-2.26328495408379e+01dB,-9.04853501412982e+01°)
1.28528665994361e+00	(-2.26128496503333e+01dB,-9.04864690182251e+01°)
1.28824955169313e+00	(-2.25928497603343e+01dB,-9.04875904746328e+01°)
1.29121927361353e+00	(-2.25728498708434e+01dB,-9.04887145164690e+01°)
1.29419584144998e+00	(-2.25528499818629e+01dB,-9.04898411496951e+01°)
1.29717927098395e+00	(-2.25328500933951e+01dB,-9.04909703802865e+01°)
1.30016957803328e+00	(-2.25128502054424e+01dB,-9.04921022142319e+01°)
1.30316677845229e+00	(-2.24928503180073e+01dB,-9.04932366575343e+01°)
1.30617088813183e+00	(-2.24728504310920e+01dB,-9.04943737162103e+01°)
1.30918192299940e+00	(-2.24528505446990e+01dB,-9.04955133962903e+01°)
1.31219989901919e+00	(-2.24328506588307e+01dB,-9.04966557038190e+01°)
1.31522483219223e+00	(-2.24128507734896e+01dB,-9.04978006448546e+01°)
1.31825673855640e+00	(-2.23928508886781e+01dB,-9.04989482254694e+01°)
1.32129563418657e+00	(-2.23728510043985e+01dB,-9.05000984517499e+01°)
1.32434153519466e+00	(-2.23528511206534e+01dB,-9.05012513297965e+01°)
1.32739445772973e+00	(-2.23328512374453e+01dB,-9.05024068657236e+01°)
1.33045441797808e+00	(-2.23128513547766e+01dB,-9.05035650656598e+01°)
1.33352143216332e+00	(-2.22928514726497e+01dB,-9.05047259357479e+01°)
1.33659551654643e+00	(-2.22728515910673e+01dB,-9.05058894821447e+01°)
1.33967668742593e+00	(-2.22528517100319e+01dB,-9.05070557110214e+01°)
1.34276496113785e+00	(-2.22328518295460e+01dB,-9.05082246285633e+01°)
1.34586035405594e+00	(-2.22128519496120e+01dB,-9.05093962409700e+01°)
1.34896288259164e+00	(-2.21928520702326e+01dB,-9.05105705544554e+01°)
1.35207256319427e+00	(-2.21728521914103e+01dB,-9.05117475752478e+01°)
1.35518941235103e+00	(-2.21528523131477e+01dB,-9.05129273095897e+01°)
1.35831344658714e+00	(-2.21328524354473e+01dB,-9.05141097637382e+01°)
1.36144468246594e+00	(-2.21128525583119e+01dB,-9.05152949439648e+01°)
1.36458313658891e+00	(-2.20928526817440e+01dB,-9.05164828565553e+01°)
1.36772882559584e+00	(-2.20728528057461e+01dB,-9.05176735078102e+01°)
1.37088176616484e+00	(-2.20528529303210e+01dB,-9.05188669040444e+01°)
1.37404197501251e+00	(-2.20328530554714e+01dB,-9.05200630515876e+01°)
1.37720946889394e+00	(-2.20128531811997e+01dB,-9.05212619567836e+01°)
1.38038426460287e+00	(-2.19928533075088e+01dB,-9.05224636259915e+01°)
1.38356637897177e+00	(-2.19728534344013e+01dB,-9.05236680655846e+01°)
1.38675582887188e+00	(-2.19528535618799e+01dB,-9.05248752819510e+01°)
1.38995263121334e+00	(-2.19328536899474e+01dB,-9.05260852814936e+01°)
1.39315680294529e+00	(-2.19128538186063e+01dB,-9.05272980706301e+01°)
1.39636836105593e+00	(-2.18928539478596e+01dB,-9.05285136557929e+01°)
1.39958732257261e+00	(-2.18728540777098e+01dB,-9.05297320434293e+01°)
1.40281370456195e+00	(-2.18528542081599e+01dB,-9.05309532400016e+01°)
1.40604752412990e+00	(-2.18328543392125e+01dB,-9.05321772519867e+01°)
1.40928879842186e+00	(-2.18128544708704e+01dB,-9.05334040858768e+01°)
1.41253754462274e+00	(-2.17928546031365e+01dB,-9.05346337481788e+01°)
1.41579377995707e+00	(-2.17728547360135e+01dB,-9.05358662454147e+01°)
1.41905752168908e+00	(-2.17528548695042e+01dB,-9.05371015841216e+01°)
1.42232878712281e+00	(-2.17328550036116e+01dB,-9.05383397708517e+01°)
1.42560759360218e+00	(-2.17128551383385e+01dB,-9.05395808121722e+01°)
1.42889395851109e+00	(-2.16928552736876e+01dB,-9.05408247146655e+01°)
1.43218789927353e+00	(-2.16728554096620e+01dB,-9.05420714849293e+01°)
1.43548943335364e+00	(-2.16528555462644e+01dB,-9.05433211295763e+01°)
1.43879857825583e+00	(-2.16328556834979e+01dB,-9.05445736552347e+01°)
1.44211535152486e+00	(-2.16128558213652e+01dB,-9.05458290685479e+01°)
1.44543977074592e+00	(-2.15928559598694e+01dB,-9.05470873761744e+01°)
1.44877185354475e+00	(-2.15728560990133e+01dB,-9.05483485847885e+01°)
1.45211161758773e+00	(-2.15528562388000e+01dB,-9.05496127010795e+01°)
1.45545908058195e+00	(-2.15328563792325e+01dB,-9.05508797317525e+01°)
1.45881426027534e+00	(-2.15128565203136e+01dB,-9.05521496835277e+01°)
1.46217717445671e+00	(-2.14928566620464e+01dB,-9.05534225631410e+01°)
1.46554784095590e+00	(-2.14728568044339e+01dB,-9.05546983773439e+01°)
1.46892627764385e+00	(-2.14528569474791e+01dB,-9.05559771329034e+01°)
1.47231250243271e+00	(-2.14328570911851e+01dB,-9.05572588366020e+01°)
1.47570653327588e+00	(-2.14128572355549e+01dB,-9.05585434952380e+01°)
1.47910838816819e+00	(-2.13928573805917e+01dB,-9.05598311156255e+01°)
1.48251808514594e+00	(-2.13728575262984e+01dB,-9.05611217045940e+01°)
1.48593564228699e+00	(-2.13528576726782e+01dB,-9.05624152689890e+01°)
1.48936107771090e+00	(-2.13328578197342e+01dB,-9.05637118156717e+01°)
1.49279440957898e+00	(-2.13128579674695e+01dB,-9.05650113515192e+01°)
1.49623565609442e+00	(-2.12928581158872e+01dB,-9.05663138834243e+01°)
1.49968483550236e+00	(-2.12728582649906e+01dB,-9.05676194182961e+01°)
1.50314196609001e+00	(-2.12528584147827e+01dB,-9.05689279630591e+01°)
1.50660706618673e+00	(-2.12328585652668e+01dB,-9.05702395246542e+01°)
1.51008015416413e+00	(-2.12128587164461e+01dB,-9.05715541100381e+01°)
1.51356124843619e+00	(-2.11928588683237e+01dB,-9.05728717261837e+01°)
1.51705036745932e+00	(-2.11728590209030e+01dB,-9.05741923800798e+01°)
1.52054752973248e+00	(-2.11528591741871e+01dB,-9.05755160787315e+01°)
1.52405275379728e+00	(-2.11328593281793e+01dB,-9.05768428291600e+01°)
1.52756605823806e+00	(-2.11128594828829e+01dB,-9.05781726384027e+01°)
1.53108746168201e+00	(-2.10928596383012e+01dB,-9.05795055135133e+01°)
1.53461698279928e+00	(-2.10728597944374e+01dB,-9.05808414615616e+01°)
1.53815464030302e+00	(-2.10528599512950e+01dB,-9.05821804896339e+01°)
1.54170045294954e+00	(-2.10328601088771e+01dB,-9.05835226048328e+01°)
1.54525443953840e+00	(-2.10128602671873e+01dB,-9.05848678142772e+01°)
1.54881661891247e+00	(-2.09928604262288e+01dB,-9.05862161251025e+01°)
1.55238700995807e+00	(-2.09728605860050e+01dB,-9.05875675444607e+01°)
1.55596563160506e+00	(-2.09528607465193e+01dB,-9.05889220795201e+01°)
1.55955250282694e+00	(-2.09328609077752e+01dB,-9.05902797374656e+01°)
1.56314764264094e+00	(-2.09128610697761e+01dB,-9.05916405254987e+01°)
1.56675107010813e+00	(-2.08928612325254e+01dB,-9.05930044508375e+01°)
1.57036280433354e+00	(-2.08728613960265e+01dB,-9.05943715207167e+01°)
1.57398286446620e+00	(-2.08528615602830e+01dB,-9.05957417423879e+01°)
1.57761126969933e+00	(-2.08328617252983e+01dB,-9.05971151231193e+01°)
1.58124803927037e+00	(-2.08128618910760e+01dB,-9.05984916701957e+01°)
1.58489319246110e+00	(-2.07928620576196e+01dB,-9.05998713909191e+01°)
1.58854674859776e+00	(-2.07728622249325e+01dB,-9.06012542926079e+01°)
1.59220872705115e+00	(-2.07528623930185e+01dB,-9.06026403825978e+01°)
1.59587914723672e+00	(-2.07328625618810e+01dB,-9.06040296682413e+01°)
1.59955802861465e+00	(-2.07128627315236e+01dB,-9.06054221569076e+01°)
1.60324539069002e+00	(-2.06928629019500e+01dB,-9.06068178559833e+01°)
1.60694125301286e+00	(-2.06728630731638e+01dB,-9.06082167728718e+01°)
1.61064563517825e+00	(-2.06528632451685e+01dB,-9.06096189149936e+01°)
1.61435855682647e+00	(-2.06328634179679e+01dB,-9.06110242897865e+01°)
1.61808003764305e+00	(-2.06128635915657e+01dB,-9.06124329047053e+01°)
1.62181009735891e+00	(-2.05928637659655e+01dB,-9.06138447672220e+01°)
1.62554875575047e+00	(-2.05728639411711e+01dB,-9.06152598848260e+01°)
1.62929603263970e+00	(-2.05528641171861e+01dB,-9.06166782650238e+01°)
