;Scopy version,b3d077f6
;Exported on,Thursday April 17/04/2025
;Device,M2K
;Nr of samples,50
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,7.5,-20.6636,-94.1623
1,9.54227,-18.612,-94.5191
2,12.1407,-16.603,-94.8298
3,15.4466,-14.5764,-95.36
4,19.6528,-12.5557,-95.8223
5,25.0043,-10.5539,-96.6298
6,31.813,-8.51142,-97.7003
7,40.4758,-6.4661,-98.9141
8,51.4975,-4.42525,-100.58
9,65.5204,-2.38332,-102.9
10,83.3618,-0.406254,-105.487
11,106.061,1.61445,-108.884
12,134.942,3.51856,-113.657
13,171.688,5.41196,-120.22
14,218.439,7.07606,-127.362
15,277.92,8.45391,-136.907
16,353.599,9.42561,-149.394
17,449.885,9.73557,-159.395
18,572.39,9.40267,-167.054
19,728.253,9.17134,-170.489
20,926.559,9.432,-172.228
21,1178.86,9.89663,-177.156
22,1499.87,9.99055,175.323
23,1908.29,9.49003,168.726
24,2427.93,8.73041,165.58
25,3089.06,8.44924,165.643
26,3930.22,8.80744,164.14
27,5000.43,9.4741,155.961
28,6362.06,9.27562,143.736
29,8094.47,8.49625,130.136
30,10298.6,7.03742,117.515
31,13103,5.26608,107.472
32,16670.9,3.30191,98.4932
33,21210.5,1.3026,88.7037
34,26986.2,-0.684679,80.4072
35,34334.6,-2.7109,71.5219
36,43684,-4.69929,62.5135
37,55579.3,-6.97339,50.4798
38,70713.7,-9.10495,37.9109
39,89969.3,-11.1438,23.5937
40,114468,-13.0572,8.49929
41,145638,-14.9032,-8.39196
42,185296,-16.5351,-27.1888
43,235753,-18.0956,-46.5616
44,299949,-19.941,-69.224
45,381626,-21.7608,-95.9646
46,485544,-23.2396,-126.088
47,617759,-24.7942,-160.854
48,785976,-25.9199,162.601
49,1e+06,-26.5852,127.592
