Freq.	V(n010)
1.00000000000000e+00	(-3.68645578683383e+01dB,-9.03395400596038e+01°)
1.00230523807790e+00	(-3.68445579913498e+01dB,-9.03403227927911e+01°)
1.00461579027839e+00	(-3.68245581149292e+01dB,-9.03411073304514e+01°)
1.00693166885180e+00	(-3.68045582390791e+01dB,-9.03418936767452e+01°)
1.00925288607668e+00	(-3.67845583638022e+01dB,-9.03426818358423e+01°)
1.01157945425990e+00	(-3.67645584891011e+01dB,-9.03434718119224e+01°)
1.01391138573668e+00	(-3.67445586149784e+01dB,-9.03442636091745e+01°)
1.01624869287070e+00	(-3.67245587414369e+01dB,-9.03450572317976e+01°)
1.01859138805412e+00	(-3.67045588684792e+01dB,-9.03458526840002e+01°)
1.02093948370768e+00	(-3.66845589961081e+01dB,-9.03466499700006e+01°)
1.02329299228075e+00	(-3.66645591243261e+01dB,-9.03474490940266e+01°)
1.02565192625141e+00	(-3.66445592531361e+01dB,-9.03482500603161e+01°)
1.02801629812647e+00	(-3.66245593825408e+01dB,-9.03490528731165e+01°)
1.03038612044162e+00	(-3.66045595125429e+01dB,-9.03498575366851e+01°)
1.03276140576140e+00	(-3.65845596431452e+01dB,-9.03506640552890e+01°)
1.03514216667934e+00	(-3.65645597743504e+01dB,-9.03514724332053e+01°)
1.03752841581801e+00	(-3.65445599061614e+01dB,-9.03522826747205e+01°)
1.03992016582906e+00	(-3.65245600385809e+01dB,-9.03530947841317e+01°)
1.04231742939330e+00	(-3.65045601716118e+01dB,-9.03539087657452e+01°)
1.04472021922080e+00	(-3.64845603052568e+01dB,-9.03547246238777e+01°)
1.04712854805090e+00	(-3.64645604395188e+01dB,-9.03555423628556e+01°)
1.04954242865232e+00	(-3.64445605744007e+01dB,-9.03563619870154e+01°)
1.05196187382322e+00	(-3.64245607099053e+01dB,-9.03571835007037e+01°)
1.05438689639126e+00	(-3.64045608460355e+01dB,-9.03580069082768e+01°)
1.05681750921366e+00	(-3.63845609827941e+01dB,-9.03588322141014e+01°)
1.05925372517729e+00	(-3.63645611201842e+01dB,-9.03596594225541e+01°)
1.06169555719872e+00	(-3.63445612582085e+01dB,-9.03604885380216e+01°)
1.06414301822431e+00	(-3.63245613968701e+01dB,-9.03613195649007e+01°)
1.06659612123026e+00	(-3.63045615361719e+01dB,-9.03621525075985e+01°)
1.06905487922266e+00	(-3.62845616761168e+01dB,-9.03629873705319e+01°)
1.07151930523760e+00	(-3.62645618167077e+01dB,-9.03638241581284e+01°)
1.07398941234124e+00	(-3.62445619579478e+01dB,-9.03646628748256e+01°)
1.07646521362983e+00	(-3.62245620998399e+01dB,-9.03655035250711e+01°)
1.07894672222983e+00	(-3.62045622423871e+01dB,-9.03663461133230e+01°)
1.08143395129794e+00	(-3.61845623855924e+01dB,-9.03671906440495e+01°)
1.08392691402120e+00	(-3.61645625294589e+01dB,-9.03680371217295e+01°)
1.08642562361706e+00	(-3.61445626739896e+01dB,-9.03688855508517e+01°)
1.08893009333343e+00	(-3.61245628191876e+01dB,-9.03697359359155e+01°)
1.09144033644875e+00	(-3.61045629650559e+01dB,-9.03705882814305e+01°)
1.09395636627209e+00	(-3.60845631115976e+01dB,-9.03714425919168e+01°)
1.09647819614318e+00	(-3.60645632588159e+01dB,-9.03722988719050e+01°)
1.09900583943252e+00	(-3.60445634067139e+01dB,-9.03731571259360e+01°)
1.10153930954141e+00	(-3.60245635552948e+01dB,-9.03740173585612e+01°)
1.10407861990207e+00	(-3.60045637045615e+01dB,-9.03748795743425e+01°)
1.10662378397766e+00	(-3.59845638545175e+01dB,-9.03757437778524e+01°)
1.10917481526240e+00	(-3.59645640051657e+01dB,-9.03766099736738e+01°)
1.11173172728159e+00	(-3.59445641565095e+01dB,-9.03774781664004e+01°)
1.11429453359173e+00	(-3.59245643085521e+01dB,-9.03783483606363e+01°)
1.11686324778056e+00	(-3.59045644612965e+01dB,-9.03792205609962e+01°)
1.11943788346715e+00	(-3.58845646147462e+01dB,-9.03800947721056e+01°)
1.12201845430196e+00	(-3.58645647689044e+01dB,-9.03809709986005e+01°)
1.12460497396692e+00	(-3.58445649237743e+01dB,-9.03818492451279e+01°)
1.12719745617551e+00	(-3.58245650793591e+01dB,-9.03827295163450e+01°)
1.12979591467279e+00	(-3.58045652356623e+01dB,-9.03836118169203e+01°)
1.13240036323555e+00	(-3.57845653926872e+01dB,-9.03844961515327e+01°)
1.13501081567231e+00	(-3.57645655504370e+01dB,-9.03853825248719e+01°)
1.13762728582343e+00	(-3.57445657089152e+01dB,-9.03862709416387e+01°)
1.14024978756117e+00	(-3.57245658681250e+01dB,-9.03871614065444e+01°)
1.14287833478977e+00	(-3.57045660280698e+01dB,-9.03880539243115e+01°)
1.14551294144553e+00	(-3.56845661887532e+01dB,-9.03889484996730e+01°)
1.14815362149688e+00	(-3.56645663501784e+01dB,-9.03898451373733e+01°)
1.15080038894443e+00	(-3.56445665123489e+01dB,-9.03907438421673e+01°)
1.15345325782109e+00	(-3.56245666752681e+01dB,-9.03916446188210e+01°)
1.15611224219210e+00	(-3.56045668389395e+01dB,-9.03925474721116e+01°)
1.15877735615512e+00	(-3.55845670033665e+01dB,-9.03934524068271e+01°)
1.16144861384034e+00	(-3.55645671685528e+01dB,-9.03943594277665e+01°)
1.16412602941049e+00	(-3.55445673345017e+01dB,-9.03952685397402e+01°)
1.16680961706096e+00	(-3.55245675012167e+01dB,-9.03961797475692e+01°)
1.16949939101987e+00	(-3.55045676687015e+01dB,-9.03970930560860e+01°)
1.17219536554813e+00	(-3.54845678369595e+01dB,-9.03980084701342e+01°)
1.17489755493953e+00	(-3.54645680059945e+01dB,-9.03989259945685e+01°)
1.17760597352080e+00	(-3.54445681758098e+01dB,-9.03998456342547e+01°)
1.18032063565173e+00	(-3.54245683464092e+01dB,-9.04007673940700e+01°)
1.18304155572516e+00	(-3.54045685177962e+01dB,-9.04016912789027e+01°)
1.18576874816716e+00	(-3.53845686899745e+01dB,-9.04026172936526e+01°)
1.18850222743701e+00	(-3.53645688629478e+01dB,-9.04035454432305e+01°)
1.19124200802737e+00	(-3.53445690367197e+01dB,-9.04044757325588e+01°)
1.19398810446427e+00	(-3.53245692112939e+01dB,-9.04054081665711e+01°)
1.19674053130724e+00	(-3.53045693866741e+01dB,-9.04063427502123e+01°)
1.19949930314937e+00	(-3.52845695628641e+01dB,-9.04072794884390e+01°)
1.20226443461741e+00	(-3.52645697398675e+01dB,-9.04082183862190e+01°)
1.20503594037179e+00	(-3.52445699176882e+01dB,-9.04091594485316e+01°)
1.20781383510677e+00	(-3.52245700963299e+01dB,-9.04101026803676e+01°)
1.21059813355048e+00	(-3.52045702757964e+01dB,-9.04110480867293e+01°)
1.21338885046497e+00	(-3.51845704560915e+01dB,-9.04119956726305e+01°)
1.21618600064636e+00	(-3.51645706372190e+01dB,-9.04129454430967e+01°)
1.21898959892486e+00	(-3.51445708191828e+01dB,-9.04138974031650e+01°)
1.22179966016487e+00	(-3.51245710019868e+01dB,-9.04148515578838e+01°)
1.22461619926504e+00	(-3.51045711856347e+01dB,-9.04158079123135e+01°)
1.22743923115840e+00	(-3.50845713701306e+01dB,-9.04167664715260e+01°)
1.23026877081238e+00	(-3.50645715554783e+01dB,-9.04177272406051e+01°)
1.23310483322890e+00	(-3.50445717416818e+01dB,-9.04186902246460e+01°)
1.23594743344450e+00	(-3.50245719287451e+01dB,-9.04196554287558e+01°)
1.23879658653036e+00	(-3.50045721166720e+01dB,-9.04206228580536e+01°)
1.24165230759240e+00	(-3.49845723054666e+01dB,-9.04215925176699e+01°)
1.24451461177138e+00	(-3.49645724951329e+01dB,-9.04225644127474e+01°)
1.24738351424294e+00	(-3.49445726856749e+01dB,-9.04235385484405e+01°)
1.25025903021771e+00	(-3.49245728770966e+01dB,-9.04245149299154e+01°)
1.25314117494141e+00	(-3.49045730694022e+01dB,-9.04254935623504e+01°)
1.25602996369487e+00	(-3.48845732625957e+01dB,-9.04264744509357e+01°)
1.25892541179416e+00	(-3.48645734566812e+01dB,-9.04274576008734e+01°)
1.26182753459066e+00	(-3.48445736516628e+01dB,-9.04284430173776e+01°)
1.26473634747114e+00	(-3.48245738475447e+01dB,-9.04294307056745e+01°)
1.26765186585784e+00	(-3.48045740443310e+01dB,-9.04304206710023e+01°)
1.27057410520853e+00	(-3.47845742420260e+01dB,-9.04314129186113e+01°)
1.27350308101665e+00	(-3.47645744406337e+01dB,-9.04324074537640e+01°)
1.27643880881134e+00	(-3.47445746401584e+01dB,-9.04334042817349e+01°)
1.27938130415752e+00	(-3.47245748406044e+01dB,-9.04344034078107e+01°)
1.28233058265601e+00	(-3.47045750419758e+01dB,-9.04354048372903e+01°)
1.28528665994361e+00	(-3.46845752442771e+01dB,-9.04364085754850e+01°)
1.28824955169313e+00	(-3.46645754475124e+01dB,-9.04374146277180e+01°)
1.29121927361353e+00	(-3.46445756516861e+01dB,-9.04384229993251e+01°)
1.29419584144998e+00	(-3.46245758568025e+01dB,-9.04394336956542e+01°)
1.29717927098395e+00	(-3.46045760628660e+01dB,-9.04404467220658e+01°)
1.30016957803328e+00	(-3.45845762698810e+01dB,-9.04414620839324e+01°)
1.30316677845229e+00	(-3.45645764778518e+01dB,-9.04424797866391e+01°)
1.30617088813183e+00	(-3.45445766867828e+01dB,-9.04434998355834e+01°)
1.30918192299940e+00	(-3.45245768966786e+01dB,-9.04445222361754e+01°)
1.31219989901919e+00	(-3.45045771075435e+01dB,-9.04455469938374e+01°)
1.31522483219223e+00	(-3.44845773193820e+01dB,-9.04465741140045e+01°)
1.31825673855640e+00	(-3.44645775321986e+01dB,-9.04476036021240e+01°)
1.32129563418657e+00	(-3.44445777459979e+01dB,-9.04486354636560e+01°)
1.32434153519466e+00	(-3.44245779607843e+01dB,-9.04496697040732e+01°)
1.32739445772973e+00	(-3.44045781765625e+01dB,-9.04507063288609e+01°)
1.33045441797808e+00	(-3.43845783933371e+01dB,-9.04517453435169e+01°)
1.33352143216332e+00	(-3.43645786111125e+01dB,-9.04527867535520e+01°)
1.33659551654643e+00	(-3.43445788298935e+01dB,-9.04538305644893e+01°)
1.33967668742593e+00	(-3.43245790496846e+01dB,-9.04548767818651e+01°)
1.34276496113785e+00	(-3.43045792704906e+01dB,-9.04559254112280e+01°)
1.34586035405594e+00	(-3.42845794923162e+01dB,-9.04569764581399e+01°)
1.34896288259164e+00	(-3.42645797151660e+01dB,-9.04580299281750e+01°)
1.35207256319427e+00	(-3.42445799390448e+01dB,-9.04590858269209e+01°)
1.35518941235103e+00	(-3.42245801639573e+01dB,-9.04601441599776e+01°)
1.35831344658714e+00	(-3.42045803899083e+01dB,-9.04612049329584e+01°)
1.36144468246594e+00	(-3.41845806169027e+01dB,-9.04622681514892e+01°)
1.36458313658891e+00	(-3.41645808449451e+01dB,-9.04633338212093e+01°)
1.36772882559584e+00	(-3.41445810740406e+01dB,-9.04644019477707e+01°)
1.37088176616484e+00	(-3.41245813041938e+01dB,-9.04654725368384e+01°)
1.37404197501251e+00	(-3.41045815354098e+01dB,-9.04665455940907e+01°)
1.37720946889394e+00	(-3.40845817676934e+01dB,-9.04676211252189e+01°)
1.38038426460287e+00	(-3.40645820010496e+01dB,-9.04686991359274e+01°)
1.38356637897177e+00	(-3.40445822354832e+01dB,-9.04697796319338e+01°)
1.38675582887188e+00	(-3.40245824709994e+01dB,-9.04708626189689e+01°)
1.38995263121334e+00	(-3.40045827076030e+01dB,-9.04719481027766e+01°)
1.39315680294529e+00	(-3.39845829452992e+01dB,-9.04730360891141e+01°)
1.39636836105593e+00	(-3.39645831840929e+01dB,-9.04741265837522e+01°)
1.39958732257261e+00	(-3.39445834239892e+01dB,-9.04752195924745e+01°)
1.40281370456195e+00	(-3.39245836649933e+01dB,-9.04763151210782e+01°)
1.40604752412990e+00	(-3.39045839071102e+01dB,-9.04774131753740e+01°)
1.40928879842186e+00	(-3.38845841503451e+01dB,-9.04785137611858e+01°)
1.41253754462274e+00	(-3.38645843947031e+01dB,-9.04796168843509e+01°)
1.41579377995707e+00	(-3.38445846401894e+01dB,-9.04807225507204e+01°)
1.41905752168908e+00	(-3.38245848868093e+01dB,-9.04818307661585e+01°)
1.42232878712281e+00	(-3.38045851345680e+01dB,-9.04829415365431e+01°)
1.42560759360218e+00	(-3.37845853834707e+01dB,-9.04840548677658e+01°)
1.42889395851109e+00	(-3.37645856335228e+01dB,-9.04851707657315e+01°)
1.43218789927353e+00	(-3.37445858847294e+01dB,-9.04862892363590e+01°)
1.43548943335364e+00	(-3.37245861370961e+01dB,-9.04874102855807e+01°)
1.43879857825583e+00	(-3.37045863906280e+01dB,-9.04885339193424e+01°)
1.44211535152486e+00	(-3.36845866453307e+01dB,-9.04896601436040e+01°)
1.44543977074592e+00	(-3.36645869012095e+01dB,-9.04907889643390e+01°)
1.44877185354475e+00	(-3.36445871582698e+01dB,-9.04919203875346e+01°)
1.45211161758773e+00	(-3.36245874165171e+01dB,-9.04930544191919e+01°)
1.45545908058195e+00	(-3.36045876759570e+01dB,-9.04941910653260e+01°)
1.45881426027534e+00	(-3.35845879365948e+01dB,-9.04953303319656e+01°)
1.46217717445671e+00	(-3.35645881984362e+01dB,-9.04964722251534e+01°)
1.46554784095590e+00	(-3.35445884614866e+01dB,-9.04976167509461e+01°)
1.46892627764385e+00	(-3.35245887257517e+01dB,-9.04987639154143e+01°)
1.47231250243271e+00	(-3.35045889912371e+01dB,-9.04999137246428e+01°)
1.47570653327588e+00	(-3.34845892579485e+01dB,-9.05010661847301e+01°)
1.47910838816819e+00	(-3.34645895258914e+01dB,-9.05022213017892e+01°)
1.48251808514594e+00	(-3.34445897950717e+01dB,-9.05033790819467e+01°)
1.48593564228699e+00	(-3.34245900654949e+01dB,-9.05045395313439e+01°)
1.48936107771090e+00	(-3.34045903371668e+01dB,-9.05057026561357e+01°)
1.49279440957898e+00	(-3.33845906100933e+01dB,-9.05068684624916e+01°)
1.49623565609442e+00	(-3.33645908842800e+01dB,-9.05080369565953e+01°)
1.49968483550236e+00	(-3.33445911597329e+01dB,-9.05092081446446e+01°)
1.50314196609001e+00	(-3.33245914364578e+01dB,-9.05103820328517e+01°)
1.50660706618673e+00	(-3.33045917144605e+01dB,-9.05115586274431e+01°)
1.51008015416413e+00	(-3.32845919937469e+01dB,-9.05127379346596e+01°)
1.51356124843619e+00	(-3.32645922743231e+01dB,-9.05139199607567e+01°)
1.51705036745932e+00	(-3.32445925561948e+01dB,-9.05151047120040e+01°)
1.52054752973248e+00	(-3.32245928393682e+01dB,-9.05162921946857e+01°)
1.52405275379728e+00	(-3.32045931238493e+01dB,-9.05174824151004e+01°)
1.52756605823806e+00	(-3.31845934096440e+01dB,-9.05186753795615e+01°)
1.53108746168201e+00	(-3.31645936967585e+01dB,-9.05198710943967e+01°)
1.53461698279928e+00	(-3.31445939851988e+01dB,-9.05210695659484e+01°)
1.53815464030302e+00	(-3.31245942749711e+01dB,-9.05222708005736e+01°)
1.54170045294954e+00	(-3.31045945660815e+01dB,-9.05234748046441e+01°)
1.54525443953840e+00	(-3.30845948585363e+01dB,-9.05246815845462e+01°)
1.54881661891247e+00	(-3.30645951523415e+01dB,-9.05258911466810e+01°)
1.55238700995807e+00	(-3.30445954475035e+01dB,-9.05271034974646e+01°)
1.55596563160506e+00	(-3.30245957440285e+01dB,-9.05283186433276e+01°)
1.55955250282694e+00	(-3.30045960419229e+01dB,-9.05295365907155e+01°)
1.56314764264094e+00	(-3.29845963411929e+01dB,-9.05307573460888e+01°)
1.56675107010813e+00	(-3.29645966418449e+01dB,-9.05319809159229e+01°)
1.57036280433354e+00	(-3.29445969438853e+01dB,-9.05332073067080e+01°)
1.57398286446620e+00	(-3.29245972473205e+01dB,-9.05344365249493e+01°)
1.57761126969933e+00	(-3.29045975521570e+01dB,-9.05356685771672e+01°)
1.58124803927037e+00	(-3.28845978584011e+01dB,-9.05369034698970e+01°)
1.58489319246110e+00	(-3.28645981660595e+01dB,-9.05381412096890e+01°)
1.58854674859776e+00	(-3.28445984751387e+01dB,-9.05393818031088e+01°)
1.59220872705115e+00	(-3.28245987856452e+01dB,-9.05406252567370e+01°)
1.59587914723672e+00	(-3.28045990975856e+01dB,-9.05418715771696e+01°)
1.59955802861465e+00	(-3.27845994109665e+01dB,-9.05431207710175e+01°)
1.60324539069002e+00	(-3.27645997257947e+01dB,-9.05443728449072e+01°)
1.60694125301286e+00	(-3.27446000420767e+01dB,-9.05456278054802e+01°)
1.61064563517825e+00	(-3.27246003598193e+01dB,-9.05468856593934e+01°)
1.61435855682647e+00	(-3.27046006790293e+01dB,-9.05481464133193e+01°)
1.61808003764305e+00	(-3.26846009997135e+01dB,-9.05494100739455e+01°)
