;Scopy version,b3d077f6
;Exported on,Thursday April 17/04/2025
;Device,M2K
;Nr of samples,50
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,7.5,-37.7025,-95.1284
1,9.54227,-36.3041,-94.7403
2,12.1407,-34.7332,-95.3555
3,15.4466,-33.1424,-95.4356
4,19.6528,-31.3297,-96.5793
5,25.0043,-29.6508,-97.1201
6,31.813,-27.6718,-98.0009
7,40.4758,-25.8115,-99.3147
8,51.4975,-23.8468,-101.212
9,65.5204,-21.8955,-103.418
10,83.3618,-19.8362,-106.239
11,106.061,-17.8345,-110.101
12,134.942,-15.8875,-114.825
13,171.688,-14.0792,-120.803
14,218.439,-12.4194,-129.286
15,277.92,-10.8633,-139.057
16,353.599,-9.96466,-152.303
17,449.885,-9.90051,-164.184
18,572.39,-10.3125,-172.8
19,728.253,-10.8851,-176.985
20,926.559,-10.9755,-178.898
21,1178.86,-10.7401,177.581
22,1499.87,-10.7669,171.182
23,1908.29,-11.3076,165.208
24,2427.93,-12.149,162.823
25,3089.06,-12.5913,163.381
26,3930.22,-12.1146,162.799
27,5000.43,-11.6869,155.702
28,6362.06,-11.7107,143.73
29,8094.47,-12.5869,131.973
30,10298.6,-14.0387,120.654
31,13103,-15.6962,110.85
32,16670.9,-17.7097,104.006
33,21210.5,-19.525,96.7949
34,26986.2,-21.5308,89.76
35,34334.6,-23.3575,83.8942
36,43684,-25.1329,78.0222
37,55579.3,-26.8307,68.6645
38,70713.7,-28.4166,61.2203
39,89969.3,-29.6583,51.0728
40,114468,-30.6959,39.269
41,145638,-31.1422,25.5924
42,185296,-31.6397,8.48625
43,235753,-32.2473,-9.0541
44,299949,-32.7732,-34.4999
45,381626,-33.6851,-64.0022
46,485544,-34.214,-104.361
47,617759,-33.8164,-150.898
48,785976,-32.2559,163.616
49,1e+06,-30.1718,130.098
