Freq.	V(n010)
1.00000000000000e+00	(-5.01845700502039e+01dB,-9.02535999062467e+01°)
1.00230523807790e+00	(-5.01645702419789e+01dB,-9.02541845228092e+01°)
1.00461579027839e+00	(-5.01445704346392e+01dB,-9.02547704871102e+01°)
1.00693166885180e+00	(-5.01245706281889e+01dB,-9.02553578022572e+01°)
1.00925288607668e+00	(-5.01045708226321e+01dB,-9.02559464713644e+01°)
1.01157945425990e+00	(-5.00845710179729e+01dB,-9.02565364975535e+01°)
1.01391138573668e+00	(-5.00645712142154e+01dB,-9.02571278839534e+01°)
1.01624869287070e+00	(-5.00445714113639e+01dB,-9.02577206336999e+01°)
1.01859138805412e+00	(-5.00245716094224e+01dB,-9.02583147499365e+01°)
1.02093948370768e+00	(-5.00045718083952e+01dB,-9.02589102358135e+01°)
1.02329299228075e+00	(-4.99845720082866e+01dB,-9.02595070944889e+01°)
1.02565192625141e+00	(-4.99645722091007e+01dB,-9.02601053291275e+01°)
1.02801629812647e+00	(-4.99445724108419e+01dB,-9.02607049429018e+01°)
1.03038612044162e+00	(-4.99245726135143e+01dB,-9.02613059389915e+01°)
1.03276140576140e+00	(-4.99045728171223e+01dB,-9.02619083205835e+01°)
1.03514216667934e+00	(-4.98845730216703e+01dB,-9.02625120908721e+01°)
1.03752841581801e+00	(-4.98645732271625e+01dB,-9.02631172530592e+01°)
1.03992016582906e+00	(-4.98445734336033e+01dB,-9.02637238103538e+01°)
1.04231742939330e+00	(-4.98245736409972e+01dB,-9.02643317659725e+01°)
1.04472021922080e+00	(-4.98045738493484e+01dB,-9.02649411231390e+01°)
1.04712854805090e+00	(-4.97845740586614e+01dB,-9.02655518850849e+01°)
1.04954242865232e+00	(-4.97645742689408e+01dB,-9.02661640550488e+01°)
1.05196187382322e+00	(-4.97445744801908e+01dB,-9.02667776362772e+01°)
1.05438689639126e+00	(-4.97245746924160e+01dB,-9.02673926320236e+01°)
1.05681750921366e+00	(-4.97045749056209e+01dB,-9.02680090455495e+01°)
1.05925372517729e+00	(-4.96845751198101e+01dB,-9.02686268801235e+01°)
1.06169555719872e+00	(-4.96645753349880e+01dB,-9.02692461390221e+01°)
1.06414301822431e+00	(-4.96445755511593e+01dB,-9.02698668255291e+01°)
1.06659612123026e+00	(-4.96245757683284e+01dB,-9.02704889429360e+01°)
1.06905487922266e+00	(-4.96045759865002e+01dB,-9.02711124945418e+01°)
1.07151930523760e+00	(-4.95845762056790e+01dB,-9.02717374836532e+01°)
1.07398941234124e+00	(-4.95645764258697e+01dB,-9.02723639135844e+01°)
1.07646521362983e+00	(-4.95445766470769e+01dB,-9.02729917876574e+01°)
1.07894672222983e+00	(-4.95245768693052e+01dB,-9.02736211092017e+01°)
1.08143395129794e+00	(-4.95045770925594e+01dB,-9.02742518815547e+01°)
1.08392691402120e+00	(-4.94845773168442e+01dB,-9.02748841080612e+01°)
1.08642562361706e+00	(-4.94645775421645e+01dB,-9.02755177920741e+01°)
1.08893009333343e+00	(-4.94445777685248e+01dB,-9.02761529369536e+01°)
1.09144033644875e+00	(-4.94245779959302e+01dB,-9.02767895460680e+01°)
1.09395636627209e+00	(-4.94045782243853e+01dB,-9.02774276227931e+01°)
1.09647819614318e+00	(-4.93845784538951e+01dB,-9.02780671705127e+01°)
1.09900583943252e+00	(-4.93645786844644e+01dB,-9.02787081926183e+01°)
1.10153930954141e+00	(-4.93445789160980e+01dB,-9.02793506925093e+01°)
1.10407861990207e+00	(-4.93245791488010e+01dB,-9.02799946735928e+01°)
1.10662378397766e+00	(-4.93045793825782e+01dB,-9.02806401392838e+01°)
1.10917481526240e+00	(-4.92845796174347e+01dB,-9.02812870930053e+01°)
1.11173172728159e+00	(-4.92645798533753e+01dB,-9.02819355381880e+01°)
1.11429453359173e+00	(-4.92445800904051e+01dB,-9.02825854782708e+01°)
1.11686324778056e+00	(-4.92245803285292e+01dB,-9.02832369167002e+01°)
1.11943788346715e+00	(-4.92045805677525e+01dB,-9.02838898569309e+01°)
1.12201845430196e+00	(-4.91845808080802e+01dB,-9.02845443024253e+01°)
1.12460497396692e+00	(-4.91645810495173e+01dB,-9.02852002566542e+01°)
1.12719745617551e+00	(-4.91445812920690e+01dB,-9.02858577230959e+01°)
1.12979591467279e+00	(-4.91245815357404e+01dB,-9.02865167052372e+01°)
1.13240036323555e+00	(-4.91045817805367e+01dB,-9.02871772065726e+01°)
1.13501081567231e+00	(-4.90845820264631e+01dB,-9.02878392306048e+01°)
1.13762728582343e+00	(-4.90645822735248e+01dB,-9.02885027808446e+01°)
1.14024978756117e+00	(-4.90445825217271e+01dB,-9.02891678608108e+01°)
1.14287833478977e+00	(-4.90245827710751e+01dB,-9.02898344740305e+01°)
1.14551294144553e+00	(-4.90045830215743e+01dB,-9.02905026240386e+01°)
