time	I(R1)	I(R2)	I(R3)	I(V1)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.021850571614370e-06	2.312690e-06	2.630206e-02	6.582785e-03	-3.288716e-02
1.404370114322874e-05	9.244231e-06	5.254673e-02	1.316556e-02	-6.572154e-02
2.106555171484311e-05	2.079462e-05	7.873402e-02	1.974832e-02	-9.850313e-02
2.808740228645748e-05	3.696386e-05	1.048639e-01	2.633108e-02	-1.312320e-01
3.510925285807185e-05	5.775196e-05	1.309364e-01	3.291382e-02	-1.639080e-01
4.213110342968622e-05	8.315890e-05	1.569515e-01	3.949656e-02	-1.965312e-01
4.915295400130057e-05	1.131847e-04	1.829093e-01	4.607928e-02	-2.291017e-01
9.830495487760403e-05	4.524785e-04	3.630255e-01	9.215655e-02	-4.556346e-01
1.959612048776040e-04	1.795983e-03	7.127687e-01	1.836962e-01	-8.982609e-01
2.936174548776040e-04	4.027886e-03	1.051930e+00	2.752183e-01	-1.331176e+00
3.912737048776040e-04	7.145266e-03	1.380793e+00	3.667141e-01	-1.754652e+00
4.889299548776040e-04	1.114513e-02	1.699633e+00	4.581750e-01	-2.168953e+00
5.865862048776040e-04	1.602439e-02	2.008717e+00	5.495922e-01	-2.574333e+00
6.842424548776040e-04	2.177991e-02	2.308303e+00	6.409570e-01	-2.971040e+00
7.818987048776039e-04	2.840846e-02	2.598644e+00	7.322606e-01	-3.359313e+00
8.795549548776039e-04	3.590675e-02	2.879982e+00	8.234945e-01	-3.739383e+00
9.772112048776040e-04	4.427139e-02	3.152554e+00	9.146498e-01	-4.111475e+00
1.074867454877604e-03	5.349894e-02	3.416589e+00	1.005718e+00	-4.475806e+00
1.172523704877604e-03	6.358587e-02	3.672310e+00	1.096690e+00	-4.832586e+00
1.270179954877604e-03	7.452860e-02	3.919932e+00	1.187558e+00	-5.182018e+00
1.367836204877604e-03	8.632343e-02	4.159665e+00	1.278312e+00	-5.524300e+00
1.465492454877604e-03	9.896665e-02	4.391711e+00	1.368944e+00	-5.859622e+00
1.563148704877605e-03	1.124544e-01	4.616268e+00	1.459446e+00	-6.188168e+00
1.660804954877605e-03	1.267828e-01	4.833526e+00	1.549809e+00	-6.510118e+00
1.758461204877605e-03	1.419480e-01	5.043672e+00	1.640024e+00	-6.825644e+00
1.856117454877605e-03	1.579458e-01	5.246884e+00	1.730083e+00	-7.134913e+00
2.051429954877605e-03	1.924230e-01	5.633204e+00	1.909696e+00	-7.735323e+00
