time	V(n002)	I(L1)	I(L2)
0.000000000000000e+00	9.995999e-04	9.995999e-01	9.996999e-12
4.800000000000000e+00	9.995999e-04	9.995999e-01	9.996999e-12
4.800000489933949e+00	9.995999e-04	9.995999e-01	9.996999e-12
4.800000503475926e+00	9.995999e-04	9.995999e-01	2.127913e-11
4.800001000000000e+00	9.995978e-04	9.995999e-01	8.484873e-10
4.803737623963066e+00	9.844475e-04	9.995998e-01	6.171026e-06
4.807474247926133e+00	9.699196e-04	9.995996e-01	1.225819e-05
4.811210871889199e+00	9.560140e-04	9.995991e-01	1.826235e-05
4.814947495852266e+00	9.427307e-04	9.995985e-01	2.418350e-05
4.818684119815332e+00	9.300698e-04	9.995978e-01	3.002165e-05
4.822420743778399e+00	9.180313e-04	9.995968e-01	3.577678e-05
4.826157367741465e+00	9.066151e-04	9.995957e-01	4.144890e-05
4.835922992741465e+00	8.789802e-04	9.995922e-01	5.597932e-05
4.845688617741465e+00	8.545248e-04	9.995879e-01	7.008559e-05
4.865219867741465e+00	8.137315e-04	9.995771e-01	9.721521e-05
4.894516742741465e+00	7.685120e-04	9.995566e-01	1.357787e-04
4.923813617741465e+00	7.371722e-04	9.995325e-01	1.724896e-04
4.934697386635541e+00	7.284609e-04	9.995227e-01	1.857363e-04
4.945581155529618e+00	7.205822e-04	9.995127e-01	1.988717e-04
4.956464924423694e+00	7.135361e-04	9.995025e-01	2.118958e-04
4.967348693317771e+00	7.073225e-04	9.994921e-01	2.248086e-04
4.978232462211847e+00	7.019415e-04	9.994814e-01	2.376101e-04
4.989116231105924e+00	6.973931e-04	9.994705e-01	2.503004e-04
5.000000000000000e+00	6.936772e-04	9.994594e-01	2.628793e-04
5.000000300000000e+00	6.936789e-04	9.994594e-01	2.628797e-04
5.000000700000000e+00	-4.998586e+00	9.994561e-01	2.612137e-04
5.000001000000000e+00	-4.998549e+00	9.994511e-01	2.587144e-04
5.000071212857132e+00	-4.989781e+00	9.982820e-01	-3.257067e-04
5.000141425714264e+00	-4.981029e+00	9.971150e-01	-9.091071e-04
5.000211638571396e+00	-4.972292e+00	9.959500e-01	-1.491487e-03
5.000281851428527e+00	-4.963570e+00	9.947871e-01	-2.072845e-03
5.000352064285659e+00	-4.954864e+00	9.936262e-01	-2.653183e-03
5.000422277142791e+00	-4.946173e+00	9.924673e-01	-3.232500e-03
5.000492489999923e+00	-4.937498e+00	9.913105e-01	-3.810796e-03
