time	I(C1)
0.000000000000000e+00	2.249757e-20
1.000000000000000e-06	2.637535e-11
1.000879999959150e-06	-2.999546e+00
1.143086704721462e-05	-2.949750e+00
2.186085409447009e-05	-2.900454e+00
3.229084114172556e-05	-2.851655e+00
4.272082818898104e-05	-2.803355e+00
5.315081523623651e-05	-2.755554e+00
6.358080228349197e-05	-2.708251e+00
7.401078933074742e-05	-2.661446e+00
1.033076643307474e-04	-2.532552e+00
1.479505214736046e-04	-2.343984e+00
1.925933786164618e-04	-2.163351e+00
2.372362357593190e-04	-1.990653e+00
2.818790929021762e-04	-1.825888e+00
3.265219500450334e-04	-1.669058e+00
3.711648071878906e-04	-1.520162e+00
4.158076643307477e-04	-1.379201e+00
4.730063250450335e-04	-1.209345e+00
5.302049857593193e-04	-1.049500e+00
5.874036464736050e-04	-8.996649e-01
6.446023071878908e-04	-7.598410e-01
7.018009679021766e-04	-6.300278e-01
7.589996286164624e-04	-5.102253e-01
8.161982893307480e-04	-4.004335e-01
8.482853429021767e-04	-3.421089e-01
8.803723964736052e-04	-2.861893e-01
9.124594500450338e-04	-2.326745e-01
9.445465036164624e-04	-1.815647e-01
9.766335571878911e-04	-1.328598e-01
1.008720610759320e-03	-8.655989e-02
1.040807664330748e-03	-4.266487e-02
1.050573289330748e-03	-2.968429e-02
1.060338914330748e-03	-1.690215e-02
1.070104539330748e-03	-4.316577e-03
1.079870164330748e-03	8.074284e-03
1.089635789330748e-03	2.027228e-02
1.099401414330748e-03	3.227924e-02
1.118932664330748e-03	5.572736e-02
1.138463914330748e-03	7.843313e-02
1.167760789330748e-03	1.111311e-01
1.197057664330748e-03	1.422386e-01
1.244490700045034e-03	1.889027e-01
1.291923735759320e-03	2.321662e-01
1.339356771473606e-03	2.720291e-01
1.386789807187891e-03	3.084914e-01
1.434222842902177e-03	3.415531e-01
1.481655878616463e-03	3.712141e-01
1.529088914330749e-03	3.974746e-01
1.597448289330748e-03	4.300445e-01
1.665807664330748e-03	4.582457e-01
1.734167039330748e-03	4.820782e-01
1.802526414330748e-03	5.015420e-01
1.870885789330748e-03	5.166372e-01
1.939245164330748e-03	5.273637e-01
2.007604539330748e-03	5.337214e-01
2.094100075045032e-03	5.372966e-01
2.180595610759316e-03	5.377660e-01
2.267091146473599e-03	5.351297e-01
2.353586682187883e-03	5.293877e-01
2.440082217902167e-03	5.205400e-01
2.526577753616451e-03	5.085865e-01
2.613073289330735e-03	4.935274e-01
2.714914807187875e-03	4.741113e-01
2.816756325045016e-03	4.539194e-01
2.918597842902157e-03	4.329517e-01
3.020439360759298e-03	4.112081e-01
3.122280878616438e-03	3.886886e-01
3.224122396473579e-03	3.653934e-01
3.325963914330720e-03	3.413222e-01
3.443151414330717e-03	3.144870e-01
3.560338914330715e-03	2.886627e-01
3.677526414330713e-03	2.638495e-01
3.794713914330710e-03	2.400472e-01
3.911901414330708e-03	2.172558e-01
4.029088914330705e-03	1.954755e-01
4.146276414330703e-03	1.747062e-01
4.223006325044986e-03	1.620223e-01
4.299736235759271e-03	1.499020e-01
4.376466146473555e-03	1.383452e-01
4.453196057187839e-03	1.273519e-01
4.529925967902123e-03	1.169222e-01
4.606655878616407e-03	1.070559e-01
4.683385789330691e-03	9.775322e-02
4.736399182187833e-03	9.164172e-02
4.789412575044974e-03	8.576911e-02
4.842425967902116e-03	8.013537e-02
4.895439360759258e-03	7.474053e-02
4.948452753616400e-03	6.958456e-02
5.001466146473541e-03	6.466748e-02
5.054479539330683e-03	5.998929e-02
5.079591146473540e-03	5.784579e-02
5.104702753616397e-03	5.574945e-02
5.129814360759253e-03	5.370027e-02
5.154925967902109e-03	5.169823e-02
5.180037575044967e-03	4.974335e-02
5.205149182187823e-03	4.783563e-02
5.230260789330679e-03	4.597506e-02
5.240026414330679e-03	4.526305e-02
5.249792039330679e-03	4.455780e-02
5.259557664330679e-03	4.385927e-02
5.279088914330678e-03	4.248220e-02
5.298620164330678e-03	4.113154e-02
5.327917039330677e-03	3.915443e-02
5.357213914330677e-03	3.723501e-02
5.404646950044961e-03	3.425796e-02
5.452079985759246e-03	3.141421e-02
5.499513021473531e-03	2.870376e-02
5.546946057187816e-03	2.612663e-02
5.594379092902100e-03	2.368279e-02
5.641812128616385e-03	2.137226e-02
5.689245164330670e-03	1.919504e-02
5.745048735759240e-03	1.678824e-02
5.800852307187810e-03	1.452217e-02
5.856655878616381e-03	1.239683e-02
5.912459450044951e-03	1.041221e-02
5.968263021473521e-03	8.568324e-03
6.024066592902091e-03	6.865161e-03
6.079870164330661e-03	5.302725e-03
6.109167039330661e-03	4.524179e-03
6.138463914330660e-03	3.775534e-03
6.167760789330659e-03	3.056790e-03
6.197057664330659e-03	2.367948e-03
6.226354539330658e-03	1.709007e-03
6.255651414330658e-03	1.079968e-03
6.284948289330657e-03	4.808295e-04
6.294713914330657e-03	2.865114e-04
6.304479539330657e-03	9.517877e-05
6.314245164330656e-03	-9.319650e-05
6.324010789330656e-03	-2.786425e-04
6.333776414330656e-03	-4.611870e-04
6.353307664330655e-03	-8.176824e-04
6.372838914330655e-03	-1.162902e-03
6.402135789330654e-03	-1.660066e-03
6.431432664330654e-03	-2.133071e-03
6.478865700044938e-03	-2.842685e-03
6.526298735759223e-03	-3.500641e-03
6.573731771473508e-03	-4.106938e-03
6.621164807187793e-03	-4.661577e-03
6.668597842902077e-03	-5.164558e-03
6.716030878616362e-03	-5.615879e-03
6.763463914330647e-03	-6.015542e-03
6.831823289330645e-03	-6.511371e-03
6.900182664330644e-03	-6.940813e-03
6.968542039330642e-03	-7.303870e-03
