Freq.	V(n002)
1.00000000000000e+00	(-6.76455242539325e+01dB,8.99841600004035e+01°)
1.00230523807790e+00	(-6.76255242554647e+01dB,8.99841234854352e+01°)
1.00461579027839e+00	(-6.76055242570039e+01dB,8.99840868862912e+01°)
1.00693166885180e+00	(-6.75855242585502e+01dB,8.99840502027774e+01°)
1.00925288607668e+00	(-6.75655242601036e+01dB,8.99840134346994e+01°)
1.01157945425990e+00	(-6.75455242616642e+01dB,8.99839765818623e+01°)
1.01391138573668e+00	(-6.75255242632320e+01dB,8.99839396440706e+01°)
1.01624869287070e+00	(-6.75055242648071e+01dB,8.99839026211285e+01°)
1.01859138805412e+00	(-6.74855242663894e+01dB,8.99838655128397e+01°)
1.02093948370768e+00	(-6.74655242679790e+01dB,8.99838283190075e+01°)
1.02329299228075e+00	(-6.74455242695760e+01dB,8.99837910394347e+01°)
1.02565192625141e+00	(-6.74255242711804e+01dB,8.99837536739236e+01°)
1.02801629812647e+00	(-6.74055242727921e+01dB,8.99837162222761e+01°)
1.03038612044162e+00	(-6.73855242744113e+01dB,8.99836786842937e+01°)
1.03276140576140e+00	(-6.73655242760379e+01dB,8.99836410597773e+01°)
1.03514216667934e+00	(-6.73455242776721e+01dB,8.99836033485274e+01°)
1.03752841581801e+00	(-6.73255242793138e+01dB,8.99835655503442e+01°)
1.03992016582906e+00	(-6.73055242809631e+01dB,8.99835276650271e+01°)
1.04231742939330e+00	(-6.72855242826200e+01dB,8.99834896923754e+01°)
1.04472021922080e+00	(-6.72655242842845e+01dB,8.99834516321877e+01°)
1.04712854805090e+00	(-6.72455242859567e+01dB,8.99834134842622e+01°)
1.04954242865232e+00	(-6.72255242876367e+01dB,8.99833752483967e+01°)
1.05196187382322e+00	(-6.72055242893244e+01dB,8.99833369243884e+01°)
1.05438689639126e+00	(-6.71855242910199e+01dB,8.99832985120342e+01°)
1.05681750921366e+00	(-6.71655242927232e+01dB,8.99832600111304e+01°)
1.05925372517729e+00	(-6.71455242944344e+01dB,8.99832214214728e+01°)
1.06169555719872e+00	(-6.71255242961535e+01dB,8.99831827428569e+01°)
1.06414301822431e+00	(-6.71055242978805e+01dB,8.99831439750776e+01°)
1.06659612123026e+00	(-6.70855242996155e+01dB,8.99831051179294e+01°)
1.06905487922266e+00	(-6.70655243013585e+01dB,8.99830661712062e+01°)
1.07151930523760e+00	(-6.70455243031095e+01dB,8.99830271347015e+01°)
1.07398941234124e+00	(-6.70255243048686e+01dB,8.99829880082084e+01°)
1.07646521362983e+00	(-6.70055243066359e+01dB,8.99829487915195e+01°)
1.07894672222983e+00	(-6.69855243084113e+01dB,8.99829094844268e+01°)
1.08143395129794e+00	(-6.69655243101949e+01dB,8.99828700867218e+01°)
1.08392691402120e+00	(-6.69455243119867e+01dB,8.99828305981958e+01°)
1.08642562361706e+00	(-6.69255243137868e+01dB,8.99827910186394e+01°)
1.08893009333343e+00	(-6.69055243155952e+01dB,8.99827513478427e+01°)
1.09144033644875e+00	(-6.68855243174119e+01dB,8.99827115855953e+01°)
1.09395636627209e+00	(-6.68655243192371e+01dB,8.99826717316866e+01°)
1.09647819614318e+00	(-6.68455243210706e+01dB,8.99826317859051e+01°)
1.09900583943252e+00	(-6.68255243229127e+01dB,8.99825917480391e+01°)
1.10153930954141e+00	(-6.68055243247632e+01dB,8.99825516178762e+01°)
1.10407861990207e+00	(-6.67855243266223e+01dB,8.99825113952039e+01°)
1.10662378397766e+00	(-6.67655243284899e+01dB,8.99824710798087e+01°)
1.10917481526240e+00	(-6.67455243303662e+01dB,8.99824306714769e+01°)
1.11173172728159e+00	(-6.67255243322511e+01dB,8.99823901699944e+01°)
1.11429453359173e+00	(-6.67055243341447e+01dB,8.99823495751462e+01°)
1.11686324778056e+00	(-6.66855243360471e+01dB,8.99823088867174e+01°)
1.11943788346715e+00	(-6.66655243379583e+01dB,8.99822681044920e+01°)
1.12201845430196e+00	(-6.66455243398782e+01dB,8.99822272282539e+01°)
1.12460497396692e+00	(-6.66255243418071e+01dB,8.99821862577863e+01°)
1.12719745617551e+00	(-6.66055243437448e+01dB,8.99821451928721e+01°)
1.12979591467279e+00	(-6.65855243456915e+01dB,8.99821040332936e+01°)
1.13240036323555e+00	(-6.65655243476472e+01dB,8.99820627788323e+01°)
1.13501081567231e+00	(-6.65455243496119e+01dB,8.99820214292698e+01°)
1.13762728582343e+00	(-6.65255243515856e+01dB,8.99819799843867e+01°)
1.14024978756117e+00	(-6.65055243535685e+01dB,8.99819384439633e+01°)
1.14287833478977e+00	(-6.64855243555605e+01dB,8.99818968077793e+01°)
1.14551294144553e+00	(-6.64655243575617e+01dB,8.99818550756141e+01°)
1.14815362149688e+00	(-6.64455243595722e+01dB,8.99818132472463e+01°)
1.15080038894443e+00	(-6.64255243615920e+01dB,8.99817713224542e+01°)
1.15345325782109e+00	(-6.64055243636210e+01dB,8.99817293010154e+01°)
1.15611224219210e+00	(-6.63855243656594e+01dB,8.99816871827073e+01°)
1.15877735615512e+00	(-6.63655243677073e+01dB,8.99816449673064e+01°)
1.16144861384034e+00	(-6.63455243697646e+01dB,8.99816026545890e+01°)
1.16412602941049e+00	(-6.63255243718313e+01dB,8.99815602443308e+01°)
1.16680961706096e+00	(-6.63055243739077e+01dB,8.99815177363068e+01°)
1.16949939101987e+00	(-6.62855243759936e+01dB,8.99814751302917e+01°)
1.17219536554813e+00	(-6.62655243780891e+01dB,8.99814324260597e+01°)
1.17489755493953e+00	(-6.62455243801943e+01dB,8.99813896233842e+01°)
1.17760597352080e+00	(-6.62255243823093e+01dB,8.99813467220385e+01°)
1.18032063565173e+00	(-6.62055243844340e+01dB,8.99813037217949e+01°)
1.18304155572516e+00	(-6.61855243865685e+01dB,8.99812606224255e+01°)
1.18576874816716e+00	(-6.61655243887128e+01dB,8.99812174237019e+01°)
1.18850222743701e+00	(-6.61455243908671e+01dB,8.99811741253949e+01°)
1.19124200802737e+00	(-6.61255243930312e+01dB,8.99811307272750e+01°)
1.19398810446427e+00	(-6.61055243952054e+01dB,8.99810872291122e+01°)
1.19674053130724e+00	(-6.60855243973896e+01dB,8.99810436306758e+01°)
1.19949930314937e+00	(-6.60655243995839e+01dB,8.99809999317346e+01°)
1.20226443461741e+00	(-6.60455244017884e+01dB,8.99809561320569e+01°)
1.20503594037179e+00	(-6.60255244040030e+01dB,8.99809122314107e+01°)
1.20781383510677e+00	(-6.60055244062278e+01dB,8.99808682295630e+01°)
1.21059813355048e+00	(-6.59855244084629e+01dB,8.99808241262805e+01°)
1.21338885046497e+00	(-6.59655244107083e+01dB,8.99807799213296e+01°)
1.21618600064636e+00	(-6.59455244129641e+01dB,8.99807356144757e+01°)
1.21898959892486e+00	(-6.59255244152302e+01dB,8.99806912054840e+01°)
1.22179966016487e+00	(-6.59055244175069e+01dB,8.99806466941190e+01°)
1.22461619926504e+00	(-6.58855244197940e+01dB,8.99806020801448e+01°)
1.22743923115840e+00	(-6.58655244220918e+01dB,8.99805573633247e+01°)
1.23026877081238e+00	(-6.58455244244001e+01dB,8.99805125434218e+01°)
1.23310483322890e+00	(-6.58255244267191e+01dB,8.99804676201983e+01°)
1.23594743344450e+00	(-6.58055244290487e+01dB,8.99804225934161e+01°)
1.23879658653036e+00	(-6.57855244313891e+01dB,8.99803774628365e+01°)
1.24165230759240e+00	(-6.57655244337404e+01dB,8.99803322282202e+01°)
1.24451461177138e+00	(-6.57455244361025e+01dB,8.99802868893274e+01°)
1.24738351424294e+00	(-6.57255244384754e+01dB,8.99802414459176e+01°)
1.25025903021771e+00	(-6.57055244408594e+01dB,8.99801958977500e+01°)
1.25314117494141e+00	(-6.56855244432544e+01dB,8.99801502445831e+01°)
1.25602996369487e+00	(-6.56655244456603e+01dB,8.99801044861747e+01°)
1.25892541179416e+00	(-6.56455244480774e+01dB,8.99800586222824e+01°)
1.26182753459066e+00	(-6.56255244505057e+01dB,8.99800126526629e+01°)
1.26473634747114e+00	(-6.56055244529452e+01dB,8.99799665770724e+01°)
1.26765186585784e+00	(-6.55855244553959e+01dB,8.99799203952669e+01°)
1.27057410520853e+00	(-6.55655244578579e+01dB,8.99798741070013e+01°)
1.27350308101665e+00	(-6.55455244603314e+01dB,8.99798277120302e+01°)
1.27643880881134e+00	(-6.55255244628162e+01dB,8.99797812101077e+01°)
