Freq.	V(n002)
1.00000000000000e+00	1.77652872907500e-07,9.42477762590160e-04
1.00230523807790e+00	1.78472881281925e-07,9.44650398061133e-04
1.00461579027839e+00	1.79296674642763e-07,9.46828041973048e-04
1.00693166885180e+00	1.80124270460713e-07,9.49010705871548e-04
1.00925288607668e+00	1.80955686287119e-07,9.51198401328889e-04
1.01157945425990e+00	1.81790939754335e-07,9.53391139944005e-04
1.01391138573668e+00	1.82630048576104e-07,9.55588933342568e-04
1.01624869287070e+00	1.83473030547932e-07,9.57791793177048e-04
1.01859138805412e+00	1.84319903547463e-07,9.59999731126780e-04
1.02093948370768e+00	1.85170685534864e-07,9.62212758898020e-04
1.02329299228075e+00	1.86025394553201e-07,9.64430888224011e-04
1.02565192625141e+00	1.86884048728820e-07,9.66654130865044e-04
1.02801629812647e+00	1.87746666271739e-07,9.68882498608517e-04
1.03038612044162e+00	1.88613265476027e-07,9.71116003269007e-04
1.03276140576140e+00	1.89483864720194e-07,9.73354656688320e-04
1.03514216667934e+00	1.90358482467584e-07,9.75598470735564e-04
1.03752841581801e+00	1.91237137266762e-07,9.77847457307205e-04
1.03992016582906e+00	1.92119847751909e-07,9.80101628327138e-04
1.04231742939330e+00	1.93006632643218e-07,9.82360995746741e-04
1.04472021922080e+00	1.93897510747290e-07,9.84625571544943e-04
1.04712854805090e+00	1.94792500957535e-07,9.86895367728290e-04
1.04954242865232e+00	1.95691622254569e-07,9.89170396331003e-04
1.05196187382322e+00	1.96594893706619e-07,9.91450669415046e-04
1.05438689639126e+00	1.97502334469928e-07,9.93736199070190e-04
1.05681750921366e+00	1.98413963789159e-07,9.96026997414072e-04
1.05925372517729e+00	1.99329800997804e-07,9.98323076592267e-04
1.06169555719872e+00	2.00249865518595e-07,1.00062444877835e-03
1.06414301822431e+00	2.01174176863916e-07,1.00293112617394e-03
1.06659612123026e+00	2.02102754636215e-07,1.00524312100882e-03
1.06905487922266e+00	2.03035618528421e-07,1.00756044554093e-03
1.07151930523760e+00	2.03972788324361e-07,1.00988311205649e-03
1.07398941234124e+00	2.04914283899181e-07,1.01221113287004e-03
1.07646521362983e+00	2.05860125219765e-07,1.01454452032448e-03
1.07894672222983e+00	2.06810332345161e-07,1.01688328679121e-03
1.08143395129794e+00	2.07764925427005e-07,1.01922744467011e-03
1.08392691402120e+00	2.08723924709949e-07,1.02157700638966e-03
1.08642562361706e+00	2.09687350532090e-07,1.02393198440700e-03
1.08893009333343e+00	2.10655223325401e-07,1.02629239120797e-03
1.09144033644875e+00	2.11627563616165e-07,1.02865823930720e-03
1.09395636627209e+00	2.12604392025409e-07,1.03102954124817e-03
1.09647819614318e+00	2.13585729269344e-07,1.03340630960327e-03
1.09900583943252e+00	2.14571596159802e-07,1.03578855697388e-03
1.10153930954141e+00	2.15562013604676e-07,1.03817629599043e-03
1.10407861990207e+00	2.16557002608370e-07,1.04056953931244e-03
1.10662378397766e+00	2.17556584272235e-07,1.04296829962866e-03
1.10917481526240e+00	2.18560779795024e-07,1.04537258965706e-03
1.11173172728159e+00	2.19569610473338e-07,1.04778242214492e-03
1.11429453359173e+00	2.20583097702081e-07,1.05019780986893e-03
1.11686324778056e+00	2.21601262974907e-07,1.05261876563522e-03
1.11943788346715e+00	2.22624127884684e-07,1.05504530227944e-03
1.12201845430196e+00	2.23651714123946e-07,1.05747743266683e-03
1.12460497396692e+00	2.24684043485356e-07,1.05991516969230e-03
1.12719745617551e+00	2.25721137862167e-07,1.06235852628047e-03
1.12979591467279e+00	2.26763019248687e-07,1.06480751538575e-03
1.13240036323555e+00	2.27809709740746e-07,1.06726214999243e-03
1.13501081567231e+00	2.28861231536161e-07,1.06972244311473e-03
1.13762728582343e+00	2.29917606935211e-07,1.07218840779685e-03
1.14024978756117e+00	2.30978858341109e-07,1.07466005711309e-03
1.14287833478977e+00	2.32045008260476e-07,1.07713740416787e-03
1.14551294144553e+00	2.33116079303818e-07,1.07962046209582e-03
1.14815362149688e+00	2.34192094186007e-07,1.08210924406185e-03
1.15080038894443e+00	2.35273075726763e-07,1.08460376326122e-03
1.15345325782109e+00	2.36359046851134e-07,1.08710403291961e-03
1.15611224219210e+00	2.37450030589990e-07,1.08961006629318e-03
1.15877735615512e+00	2.38546050080502e-07,1.09212187666867e-03
1.16144861384034e+00	2.39647128566639e-07,1.09463947736341e-03
1.16412602941049e+00	2.40753289399659e-07,1.09716288172548e-03
1.16680961706096e+00	2.41864556038607e-07,1.09969210313368e-03
1.16949939101987e+00	2.42980952050805e-07,1.10222715499768e-03
1.17219536554813e+00	2.44102501112362e-07,1.10476805075807e-03
1.17489755493953e+00	2.45229227008667e-07,1.10731480388639e-03
1.17760597352080e+00	2.46361153634900e-07,1.10986742788528e-03
1.18032063565173e+00	2.47498304996533e-07,1.11242593628846e-03
1.18304155572516e+00	2.48640705209846e-07,1.11499034266088e-03
1.18576874816716e+00	2.49788378502432e-07,1.11756066059875e-03
1.18850222743701e+00	2.50941349213714e-07,1.12013690372963e-03
1.19124200802737e+00	2.52099641795461e-07,1.12271908571248e-03
1.19398810446427e+00	2.53263280812306e-07,1.12530722023776e-03
1.19674053130724e+00	2.54432290942267e-07,1.12790132102748e-03
1.19949930314937e+00	2.55606696977271e-07,1.13050140183530e-03
1.20226443461741e+00	2.56786523823678e-07,1.13310747644655e-03
1.20503594037179e+00	2.57971796502813e-07,1.13571955867838e-03
1.20781383510677e+00	2.59162540151492e-07,1.13833766237977e-03
1.21059813355048e+00	2.60358780022556e-07,1.14096180143162e-03
1.21338885046497e+00	2.61560541485413e-07,1.14359198974684e-03
1.21618600064636e+00	2.62767850026565e-07,1.14622824127042e-03
1.21898959892486e+00	2.63980731250157e-07,1.14887056997947e-03
1.22179966016487e+00	2.65199210878517e-07,1.15151898988335e-03
1.22461619926504e+00	2.66423314752702e-07,1.15417351502368e-03
1.22743923115840e+00	2.67653068833046e-07,1.15683415947450e-03
1.23026877081238e+00	2.68888499199709e-07,1.15950093734223e-03
1.23310483322890e+00	2.70129632053234e-07,1.16217386276587e-03
1.23594743344450e+00	2.71376493715098e-07,1.16485294991698e-03
1.23879658653036e+00	2.72629110628273e-07,1.16753821299979e-03
1.24165230759240e+00	2.73887509357787e-07,1.17022966625127e-03
1.24451461177138e+00	2.75151716591284e-07,1.17292732394124e-03
1.24738351424294e+00	2.76421759139597e-07,1.17563120037238e-03
1.25025903021771e+00	2.77697663937307e-07,1.17834130988035e-03
1.25314117494141e+00	2.78979458043323e-07,1.18105766683387e-03
1.25602996369487e+00	2.80267168641451e-07,1.18378028563478e-03
1.25892541179416e+00	2.81560823040971e-07,1.18650918071811e-03
1.26182753459066e+00	2.82860448677217e-07,1.18924436655216e-03
1.26473634747114e+00	2.84166073112161e-07,1.19198585763861e-03
1.26765186585784e+00	2.85477724034993e-07,1.19473366851254e-03
1.27057410520853e+00	2.86795429262710e-07,1.19748781374256e-03
1.27350308101665e+00	2.88119216740707e-07,1.20024830793084e-03
1.27643880881134e+00	2.89449114543370e-07,1.20301516571324e-03
1.27938130415752e+00	2.90785150874669e-07,1.20578840175934e-03
1.28233058265601e+00	2.92127354068759e-07,1.20856803077254e-03
1.28528665994361e+00	2.93475752590578e-07,1.21135406749013e-03
1.28824955169313e+00	2.94830375036454e-07,1.21414652668338e-03
1.29121927361353e+00	2.96191250134707e-07,1.21694542315762e-03
1.29419584144998e+00	2.97558406746263e-07,1.21975077175229e-03
1.29717927098395e+00	2.98931873865262e-07,1.22256258734105e-03
1.30016957803328e+00	3.00311680619677e-07,1.22538088483185e-03
1.30316677845229e+00	3.01697856271929e-07,1.22820567916699e-03
1.30617088813183e+00	3.03090430219506e-07,1.23103698532324e-03
1.30918192299940e+00	3.04489431995592e-07,1.23387481831187e-03
1.31219989901919e+00	3.05894891269687e-07,1.23671919317877e-03
1.31522483219223e+00	3.07306837848240e-07,1.23957012500451e-03
1.31825673855640e+00	3.08725301675281e-07,1.24242762890443e-03
1.32129563418657e+00	3.10150312833055e-07,1.24529172002871e-03
1.32434153519466e+00	3.11581901542659e-07,1.24816241356244e-03
1.32739445772973e+00	3.13020098164687e-07,1.25103972472574e-03
1.33045441797808e+00	3.14464933199867e-07,1.25392366877380e-03
1.33352143216332e+00	3.15916437289717e-07,1.25681426099698e-03
1.33659551654643e+00	3.17374641217185e-07,1.25971151672090e-03
1.33967668742593e+00	3.18839575907308e-07,1.26261545130648e-03
1.34276496113785e+00	3.20311272427868e-07,1.26552608015008e-03
1.34586035405594e+00	3.21789761990049e-07,1.26844341868354e-03
1.34896288259164e+00	3.23275075949097e-07,1.27136748237428e-03
1.35207256319427e+00	3.24767245804988e-07,1.27429828672536e-03
1.35518941235103e+00	3.26266303203097e-07,1.27723584727559e-03
1.35831344658714e+00	3.27772279934867e-07,1.28018017959960e-03
1.36144468246594e+00	3.29285207938481e-07,1.28313129930793e-03
1.36458313658891e+00	3.30805119299543e-07,1.28608922204709e-03
1.36772882559584e+00	3.32332046251760e-07,1.28905396349967e-03
1.37088176616484e+00	3.33866021177620e-07,1.29202553938441e-03
1.37404197501251e+00	3.35407076609082e-07,1.29500396545628e-03
1.37720946889394e+00	3.36955245228266e-07,1.29798925750658e-03
1.38038426460287e+00	3.38510559868147e-07,1.30098143136301e-03
1.38356637897177e+00	3.40073053513248e-07,1.30398050288973e-03
1.38675582887188e+00	3.41642759300343e-07,1.30698648798751e-03
1.38995263121334e+00	3.43219710519157e-07,1.30999940259376e-03
1.39315680294529e+00	3.44803940613075e-07,1.31301926268262e-03
1.39636836105593e+00	3.46395483179849e-07,1.31604608426507e-03
1.39958732257261e+00	3.47994371972309e-07,1.31907988338897e-03
1.40281370456195e+00	3.49600640899085e-07,1.32212067613922e-03
1.40604752412990e+00	3.51214324025318e-07,1.32516847863775e-03
1.40928879842186e+00	3.52835455573388e-07,1.32822330704369e-03
1.41253754462274e+00	3.54464069923640e-07,1.33128517755341e-03
1.41579377995707e+00	3.56100201615109e-07,1.33435410640062e-03
1.41905752168908e+00	3.57743885346254e-07,1.33743010985643e-03
