time	V(n003)	I(C1)
0.000000000000000e+00	-9.999000e+01	-3.999600e-16
4.999999987376214e-07	-9.999000e+01	9.094947e-13
5.744541694593377e-07	-9.998987e+01	2.027979e-02
6.489083401810539e-07	-9.998954e+01	3.737050e-02
7.233625109027701e-07	-9.998902e+01	5.127211e-02
7.978166816244864e-07	-9.998829e+01	6.198463e-02
8.722708523462027e-07	-9.998736e+01	6.950807e-02
9.467250230679189e-07	-9.998624e+01	7.384241e-02
1.021179193789635e-06	-9.998492e+01	7.498766e-02
5.853976176575486e-04	-8.953696e+01	6.976582e-02
1.169774056121308e-03	-7.971265e+01	6.485529e-02
1.754150494585067e-03	-7.051198e+01	6.025606e-02
2.338526933048825e-03	-6.193495e+01	5.596812e-02
2.922903371512584e-03	-5.398156e+01	5.199149e-02
3.507279809976343e-03	-4.665182e+01	4.832616e-02
4.091656248440101e-03	-3.994572e+01	4.497213e-02
4.545060266297242e-03	-3.502437e+01	4.251136e-02
4.998464284154383e-03	-3.034084e+01	4.016950e-02
5.451868302011526e-03	-2.589514e+01	3.794657e-02
5.905272319868667e-03	-2.168727e+01	3.584255e-02
6.358676337725808e-03	-1.771722e+01	3.385745e-02
6.812080355582949e-03	-1.398500e+01	3.199127e-02
7.265484373440090e-03	-1.049060e+01	3.024400e-02
7.481723212725806e-03	-8.880264e+00	2.943880e-02
7.697962052011522e-03	-7.310169e+00	2.865373e-02
7.914200891297237e-03	-5.780314e+00	2.788877e-02
8.130439730582953e-03	-4.290699e+00	2.714393e-02
8.346678569868669e-03	-2.841323e+00	2.641922e-02
8.562917409154385e-03	-1.432188e+00	2.571462e-02
8.779156248440102e-03	-6.329349e-02	2.503015e-02
8.827984373440102e-03	2.413207e-01	2.487784e-02
8.925640623440104e-03	8.449994e-01	2.457598e-02
9.072124998440106e-03	1.736812e+00	2.413006e-02
9.204678570091520e-03	2.529335e+00	2.373373e-02
9.337232141742932e-03	3.309351e+00	2.334368e-02
9.469785713394347e-03	4.076860e+00	2.295993e-02
9.602339285045759e-03	4.831862e+00	2.258246e-02
9.734892856697173e-03	5.574356e+00	2.221129e-02
9.867446428348588e-03	6.304343e+00	2.184640e-02
1.000000000000000e-02	7.021823e+00	2.148781e-02
1.000043594233563e-02	7.024165e+00	2.148613e-02
1.000088594732725e-02	7.022166e+00	-5.702047e-02
