time	V(N002,N001)	I(L1)
0.000000000000000e+00	0.000000e+00	1.500000e+00
1.953124988129940e-11	0.000000e+00	1.500000e+00
1.000000000000000e-06	0.000000e+00	1.500000e+00
1.001584000019234e-06	-9.503365e-04	1.500000e+00
1.743582434212417e-06	-4.267249e-01	1.499601e+00
2.485580868405600e-06	-8.256398e-01	1.498688e+00
3.227579302598784e-06	-1.197695e+00	1.497261e+00
3.969577736791967e-06	-1.542890e+00	1.495319e+00
4.711576170985151e-06	-1.861226e+00	1.492862e+00
5.453574605178334e-06	-2.152702e+00	1.489891e+00
6.195573039371516e-06	-2.417318e+00	1.486406e+00
8.148698039371516e-06	-3.027886e+00	1.475771e+00
1.010182303937152e-05	-3.513149e+00	1.462996e+00
1.205494803937152e-05	-3.892679e+00	1.448531e+00
1.400807303937152e-05	-4.183155e+00	1.432758e+00
1.596119803937151e-05	-4.398789e+00	1.415996e+00
1.791432303937152e-05	-4.551682e+00	1.398515e+00
1.986744803937152e-05	-4.652132e+00	1.380539e+00
2.182057303937152e-05	-4.708902e+00	1.362255e+00
2.377369803937152e-05	-4.729436e+00	1.343821e+00
2.572682303937152e-05	-4.720061e+00	1.325365e+00
2.767994803937152e-05	-4.686142e+00	1.306994e+00
2.963307303937153e-05	-4.632229e+00	1.288794e+00
3.158619803937153e-05	-4.562173e+00	1.270836e+00
3.353932303937153e-05	-4.479234e+00	1.253177e+00
3.549244803937153e-05	-4.386159e+00	1.235862e+00
3.744557303937153e-05	-4.285267e+00	1.218925e+00
3.939869803937154e-05	-4.178508e+00	1.202394e+00
4.135182303937154e-05	-4.067516e+00	1.186289e+00
4.330494803937154e-05	-3.953660e+00	1.170623e+00
4.525807303937154e-05	-3.838082e+00	1.155404e+00
4.721119803937154e-05	-3.721728e+00	1.140639e+00
5.111744803937155e-05	-3.489692e+00	1.112471e+00
5.502369803937155e-05	-3.262274e+00	1.086099e+00
6.088307303937155e-05	-2.936260e+00	1.049798e+00
6.423128732508585e-05	-2.760089e+00	1.030867e+00
6.757950161080014e-05	-2.592165e+00	1.012950e+00
7.092771589651443e-05	-2.432491e+00	9.960468e-01
7.427593018222872e-05	-2.281064e+00	9.801572e-01
7.762414446794301e-05	-2.137886e+00	9.652813e-01
8.097235875365730e-05	-2.002957e+00	9.514190e-01
8.432057303937158e-05	-1.876276e+00	9.385704e-01
8.990093018222873e-05	-1.685196e+00	9.191853e-01
9.548128732508587e-05	-1.509613e+00	9.013993e-01
1.010616444679430e-04	-1.349526e+00	8.852124e-01
1.066420016108002e-04	-1.204936e+00	8.706245e-01
1.122223587536573e-04	-1.075842e+00	8.576357e-01
1.178027158965145e-04	-9.622439e-01	8.462460e-01
1.233830730393716e-04	-8.641424e-01	8.364554e-01
1.292424480393716e-04	-7.687178e-01	8.268976e-01
1.351018230393716e-04	-6.837924e-01	8.183953e-01
1.409611980393716e-04	-6.082251e-01	8.108326e-01
1.468205730393716e-04	-5.409939e-01	8.041057e-01
1.526799480393716e-04	-4.811850e-01	7.981225e-01
1.585393230393716e-04	-4.279821e-01	7.928007e-01
1.643986980393716e-04	-3.806581e-01	7.880674e-01
1.702580730393717e-04	-3.385649e-01	7.838575e-01
1.761174480393717e-04	-3.011246e-01	7.801131e-01
1.819768230393717e-04	-2.678239e-01	7.767828e-01
1.878361980393717e-04	-2.382054e-01	7.738208e-01
1.936955730393717e-04	-2.118618e-01	7.711864e-01
1.995549480393717e-04	-1.884315e-01	7.688433e-01
2.054143230393717e-04	-1.675923e-01	7.667593e-01
2.112736980393717e-04	-1.490576e-01	7.649058e-01
2.171330730393717e-04	-1.325729e-01	7.632573e-01
2.229924480393717e-04	-1.179111e-01	7.617911e-01
2.288518230393717e-04	-1.048708e-01	7.604871e-01
2.347111980393717e-04	-9.327269e-02	7.593273e-01
2.405705730393717e-04	-8.295703e-02	7.582957e-01
2.464299480393717e-04	-7.378244e-02	7.573783e-01
2.522893230393717e-04	-6.562257e-02	7.565623e-01
2.581486980393717e-04	-5.836511e-02	7.558365e-01
2.640080730393717e-04	-5.191016e-02	7.551910e-01
2.698674480393717e-04	-4.616928e-02	7.546169e-01
2.757268230393717e-04	-4.106307e-02	7.541063e-01
2.815861980393718e-04	-3.652167e-02	7.536522e-01
2.874455730393718e-04	-3.248262e-02	7.532483e-01
2.933049480393718e-04	-2.889013e-02	7.528890e-01
2.991643230393718e-04	-2.569509e-02	7.525695e-01
3.050236980393718e-04	-2.285337e-02	7.522854e-01
3.108830730393718e-04	-2.032590e-02	7.520326e-01
3.167424480393718e-04	-1.807785e-02	7.518078e-01
3.226018230393718e-04	-1.607871e-02	7.516079e-01
3.284611980393718e-04	-1.430035e-02	7.514300e-01
3.343205730393718e-04	-1.271892e-02	7.512719e-01
3.401799480393718e-04	-1.131225e-02	7.511312e-01
3.460393230393718e-04	-1.006126e-02	7.510061e-01
3.518986980393718e-04	-8.948326e-03	7.508948e-01
3.577580730393718e-04	-7.958889e-03	7.507959e-01
3.636174480393718e-04	-7.078648e-03	7.507079e-01
3.694768230393718e-04	-6.295681e-03	7.506296e-01
3.753361980393718e-04	-5.599499e-03	7.505600e-01
3.811955730393718e-04	-4.980087e-03	7.504981e-01
3.870549480393718e-04	-4.429340e-03	7.504430e-01
3.929143230393718e-04	-3.939629e-03	7.503940e-01
3.987736980393719e-04	-3.503799e-03	7.503504e-01
4.046330730393719e-04	-3.116369e-03	7.503117e-01
4.104924480393719e-04	-2.771616e-03	7.502772e-01
4.163518230393719e-04	-2.465248e-03	7.502465e-01
4.222111980393719e-04	-2.192497e-03	7.502193e-01
4.280705730393719e-04	-1.950026e-03	7.501950e-01
4.339299480393719e-04	-1.734257e-03	7.501734e-01
4.397893230393719e-04	-1.542568e-03	7.501543e-01
4.456486980393719e-04	-1.371861e-03	7.501372e-01
4.515080730393719e-04	-1.220226e-03	7.501220e-01
4.573674480393719e-04	-1.085281e-03	7.501085e-01
4.632268230393719e-04	-9.653568e-04	7.500966e-01
4.690861980393719e-04	-8.585453e-04	7.500859e-01
4.749455730393719e-04	-7.636547e-04	7.500764e-01
4.808049480393719e-04	-6.790161e-04	7.500679e-01
4.866643230393719e-04	-6.039143e-04	7.500604e-01
4.925236980393719e-04	-5.371571e-04	7.500538e-01
4.983830730393719e-04	-4.777908e-04	7.500478e-01
5.042424480393719e-04	-4.248619e-04	7.500425e-01
5.101018230393719e-04	-3.778934e-04	7.500378e-01
5.159611980393719e-04	-3.361702e-04	7.500336e-01
5.218205730393719e-04	-2.989769e-04	7.500299e-01
5.276799480393719e-04	-2.658367e-04	7.500266e-01
5.335393230393719e-04	-2.365112e-04	7.500237e-01
5.393986980393719e-04	-2.102852e-04	7.500210e-01
5.452580730393719e-04	-1.871586e-04	7.500187e-01
5.511174480393719e-04	-1.664162e-04	7.500166e-01
5.569768230393719e-04	-1.480579e-04	7.500148e-01
5.628361980393719e-04	-1.316071e-04	7.500132e-01
5.686955730393720e-04	-1.170635e-04	7.500117e-01
5.745549480393720e-04	-1.041889e-04	7.500104e-01
5.804143230393720e-04	-9.250641e-05	7.500093e-01
5.862736980393720e-04	-8.225441e-05	7.500082e-01
5.921330730393720e-04	-7.319450e-05	7.500073e-01
5.971553944679434e-04	-6.633875e-05	7.500067e-01
6.021777158965149e-04	-6.000850e-05	7.500060e-01
6.072000373250863e-04	-5.420373e-05	7.500055e-01
6.122223587536577e-04	-4.892447e-05	7.500049e-01
6.172446801822292e-04	-4.417069e-05	7.500044e-01
6.222670016108006e-04	-3.994241e-05	7.500040e-01
6.272893230393720e-04	-3.623962e-05	7.500036e-01
6.325906623250863e-04	-3.269741e-05	7.500033e-01
6.378920016108006e-04	-2.942766e-05	7.500029e-01
6.431933408965149e-04	-2.643040e-05	7.500026e-01
