V2	V(n002)	V(n003)	V(n004)
0.000000000000000e+00	6.876208e-01	2.003538e+00	4.182712e+00
2.500000000000000e-02	6.702427e-01	1.992903e+00	4.177670e+00
5.000000000000000e-02	6.528645e-01	1.982268e+00	4.172627e+00
7.500000000000001e-02	6.354864e-01	1.971633e+00	4.167584e+00
1.000000000000000e-01	6.181082e-01	1.960998e+00	4.162542e+00
1.250000000000000e-01	6.007300e-01	1.950362e+00	4.157499e+00
1.500000000000000e-01	5.833519e-01	1.939727e+00	4.152457e+00
1.750000000000000e-01	5.659737e-01	1.929092e+00	4.147414e+00
2.000000000000000e-01	5.485955e-01	1.918457e+00	4.142372e+00
2.250000000000000e-01	5.312173e-01	1.907822e+00	4.137329e+00
2.500000000000000e-01	5.138392e-01	1.897186e+00	4.132287e+00
2.750000000000000e-01	4.964610e-01	1.886551e+00	4.127244e+00
3.000000000000000e-01	4.790829e-01	1.875916e+00	4.122201e+00
3.250000000000000e-01	4.617047e-01	1.865281e+00	4.117159e+00
3.500000000000000e-01	4.443265e-01	1.854645e+00	4.112116e+00
3.750000000000000e-01	4.269484e-01	1.844010e+00	4.107074e+00
4.000000000000000e-01	4.095702e-01	1.833375e+00	4.102031e+00
4.250000000000000e-01	3.921920e-01	1.822740e+00	4.096989e+00
4.500000000000000e-01	3.748139e-01	1.812105e+00	4.091946e+00
4.750000000000000e-01	3.574357e-01	1.801470e+00	4.086904e+00
5.000000000000000e-01	3.400575e-01	1.790834e+00	4.081861e+00
5.250000000000000e-01	3.226794e-01	1.780199e+00	4.076818e+00
5.500000000000000e-01	3.053012e-01	1.769564e+00	4.071776e+00
5.750000000000001e-01	2.879230e-01	1.758929e+00	4.066733e+00
6.000000000000001e-01	2.705449e-01	1.748294e+00	4.061691e+00
6.250000000000000e-01	2.531667e-01	1.737658e+00	4.056648e+00
6.500000000000000e-01	2.357885e-01	1.727023e+00	4.051606e+00
6.750000000000000e-01	2.184104e-01	1.716388e+00	4.046563e+00
7.000000000000001e-01	2.010322e-01	1.705753e+00	4.041521e+00
7.250000000000001e-01	1.836541e-01	1.695117e+00	4.036478e+00
7.500000000000000e-01	1.662759e-01	1.684482e+00	4.031435e+00
7.750000000000000e-01	1.488977e-01	1.673847e+00	4.026393e+00
8.000000000000000e-01	1.315196e-01	1.663212e+00	4.021350e+00
8.250000000000001e-01	1.141414e-01	1.652577e+00	4.016308e+00
8.500000000000001e-01	9.676322e-02	1.641941e+00	4.011265e+00
8.750000000000000e-01	7.938506e-02	1.631306e+00	4.006223e+00
9.000000000000000e-01	6.200690e-02	1.620671e+00	4.001180e+00
9.250000000000000e-01	4.462873e-02	1.610036e+00	3.996138e+00
9.500000000000001e-01	2.725057e-02	1.599401e+00	3.991095e+00
9.750000000000001e-01	9.872401e-03	1.588766e+00	3.986053e+00
1.000000000000000e+00	-7.505763e-03	1.578130e+00	3.981010e+00
1.025000000000000e+00	-2.488393e-02	1.567495e+00	3.975967e+00
1.050000000000000e+00	-4.226209e-02	1.556860e+00	3.970925e+00
1.075000000000000e+00	-5.964026e-02	1.546225e+00	3.965882e+00
1.100000000000000e+00	-7.701842e-02	1.535589e+00	3.960840e+00
1.125000000000000e+00	-9.439659e-02	1.524954e+00	3.955797e+00
1.150000000000000e+00	-1.117748e-01	1.514319e+00	3.950755e+00
1.175000000000000e+00	-1.291529e-01	1.503684e+00	3.945712e+00
1.200000000000000e+00	-1.465311e-01	1.493049e+00	3.940670e+00
1.225000000000000e+00	-1.639092e-01	1.482413e+00	3.935627e+00
1.250000000000000e+00	-1.812874e-01	1.471778e+00	3.930584e+00
1.275000000000000e+00	-1.986656e-01	1.461143e+00	3.925542e+00
1.300000000000000e+00	-2.160437e-01	1.450508e+00	3.920499e+00
1.325000000000000e+00	-2.334219e-01	1.439873e+00	3.915457e+00
