time	V(n003)	I(C1)
0.000000000000000e+00	-5.000000e+00	-5.000000e-20
1.000000003627494e-15	-5.000000e+00	4.999340e-05
2.000000007254987e-15	-5.000000e+00	9.999424e-05
1.000000000000000e-13	-5.000000e+00	5.000000e-03
1.000000000000000e-12	-5.000000e+00	5.000000e-03
1.172904851112228e-06	-4.434468e+00	4.717234e-03
2.345808702224455e-06	-3.897095e+00	4.448547e-03
3.518712553336683e-06	-3.387880e+00	4.193940e-03
4.691616404448911e-06	-2.906823e+00	3.953411e-03
5.864520255561139e-06	-2.453924e+00	3.726962e-03
7.037424106673367e-06	-2.029183e+00	3.514591e-03
8.210327957785591e-06	-1.632600e+00	3.316300e-03
9.186890457785591e-06	-1.316461e+00	3.158231e-03
1.016345295778559e-05	-1.015390e+00	3.007695e-03
1.114001545778559e-05	-7.286701e-01	2.864335e-03
1.211657795778559e-05	-4.556162e-01	2.727808e-03
1.309314045778559e-05	-1.955773e-01	2.597789e-03
1.406970295778560e-05	5.206696e-02	2.473966e-03
1.504626545778560e-05	2.879074e-01	2.356046e-03
1.602282795778560e-05	5.125067e-01	2.243747e-03
1.699939045778560e-05	7.264006e-01	2.136800e-03
1.797595295778560e-05	9.300993e-01	2.034950e-03
1.895251545778560e-05	1.124089e+00	1.937956e-03
1.992907795778560e-05	1.308832e+00	1.845584e-03
2.090564045778560e-05	1.484769e+00	1.757615e-03
2.285876545778560e-05	1.811886e+00	1.594057e-03
2.481189045778561e-05	2.108562e+00	1.445719e-03
2.676501545778561e-05	2.377631e+00	1.311184e-03
2.871814045778561e-05	2.621661e+00	1.189170e-03
3.067126545778561e-05	2.842982e+00	1.078509e-03
3.360095295778561e-05	3.136953e+00	9.315235e-04
3.555407795778561e-05	3.310323e+00	8.448387e-04
3.750720295778561e-05	3.467559e+00	7.662206e-04
4.043689045778562e-05	3.676409e+00	6.617955e-04
4.336657795778562e-05	3.856796e+00	5.716021e-04
4.531970295778562e-05	3.963179e+00	5.184105e-04
4.629626545778562e-05	4.012599e+00	4.937008e-04
4.824939045778562e-05	4.104483e+00	4.477585e-04
5.020251545778562e-05	4.187817e+00	4.060914e-04
5.313220295778563e-05	4.298506e+00	3.507469e-04
5.508532795778563e-05	4.363785e+00	3.181074e-04
5.703845295778563e-05	4.422989e+00	2.885053e-04
5.996814045778563e-05	4.501628e+00	2.491861e-04
6.192126545778563e-05	4.548005e+00	2.259976e-04
6.387439045778563e-05	4.590066e+00	2.049669e-04
6.582751545778563e-05	4.628213e+00	1.858933e-04
6.778064045778563e-05	4.662811e+00	1.685947e-04
6.875720295778563e-05	4.678883e+00	1.605587e-04
6.973376545778563e-05	4.694189e+00	1.529057e-04
7.071032795778564e-05	4.708765e+00	1.456176e-04
7.168689045778564e-05	4.722646e+00	1.386768e-04
7.266345295778564e-05	4.735866e+00	1.320669e-04
7.364001545778564e-05	4.748456e+00	1.257720e-04
7.461657795778564e-05	4.760446e+00	1.197771e-04
7.559314045778564e-05	4.771864e+00	1.140680e-04
7.656970295778564e-05	4.782738e+00	1.086310e-04
7.754626545778564e-05	4.793094e+00	1.034532e-04
7.852282795778564e-05	4.802956e+00	9.852213e-05
7.949939045778564e-05	4.812348e+00	9.382614e-05
