time	V(n001)	V(n003)
0.000000000000000e+00	-5.000000e+00	-5.000495e-11
1.000000003627494e-15	-4.900000e+00	-4.899995e+00
8.000000029019950e-15	-4.200000e+00	-4.199995e+00
1.600000005803990e-14	-3.400000e+00	-3.399995e+00
6.400000023215960e-14	1.400000e+00	1.400005e+00
1.000000000000000e-13	5.000000e+00	5.000005e+00
1.000000000000000e-12	5.000000e+00	5.000005e+00
6.720067224340727e-10	5.000000e+00	4.999971e+00
1.343095364868443e-09	5.000000e+00	4.999938e+00
2.685272649737183e-09	5.000000e+00	4.999871e+00
1.073833635894962e-08	5.000000e+00	4.999468e+00
2.147575463789954e-08	5.000000e+00	4.998931e+00
4.295059119579938e-08	5.000000e+00	4.997858e+00
8.590026431159906e-08	5.000000e+00	4.995712e+00
1.717996105431984e-07	5.000000e+00	4.991422e+00
6.871956879327945e-07	5.000000e+00	4.965763e+00
1.374390457785589e-06	5.000000e+00	4.931755e+00
2.748779997491179e-06	5.000000e+00	4.864437e+00
5.497559076902358e-06	5.000000e+00	4.732537e+00
1.099511723572472e-05	5.000000e+00	4.479323e+00
2.076074223572472e-05	5.000000e+00	4.062255e+00
3.052636723572472e-05	5.000000e+00	3.684020e+00
4.029199223572472e-05	5.000000e+00	3.341002e+00
5.005761723572472e-05	5.000000e+00	3.029924e+00
5.982324223572472e-05	5.000000e+00	2.747810e+00
6.958886723572472e-05	5.000000e+00	2.491964e+00
7.935449223572471e-05	5.000000e+00	2.259940e+00
8.912011723572471e-05	5.000000e+00	2.049520e+00
9.888574223572470e-05	5.000000e+00	1.858692e+00
1.086513672357247e-04	5.000000e+00	1.685633e+00
1.184169922357247e-04	5.000000e+00	1.528687e+00
1.281826172357247e-04	5.000000e+00	1.386354e+00
1.379482422357247e-04	5.000000e+00	1.257274e+00
1.477138672357247e-04	5.000000e+00	1.140213e+00
1.574794922357247e-04	5.000000e+00	1.034052e+00
1.672451172357247e-04	5.000000e+00	9.377751e-01
1.770107422357247e-04	5.000000e+00	8.504629e-01
1.867763672357248e-04	5.000000e+00	7.712803e-01
1.965419922357248e-04	5.000000e+00	6.994705e-01
2.063076172357248e-04	5.000000e+00	6.343468e-01
2.160732422357248e-04	5.000000e+00	5.752870e-01
2.258388672357248e-04	5.000000e+00	5.217263e-01
2.356044922357248e-04	5.000000e+00	4.731526e-01
2.453701172357248e-04	5.000000e+00	4.291016e-01
2.551357422357248e-04	5.000000e+00	3.891523e-01
2.649013672357248e-04	5.000000e+00	3.529227e-01
2.746669922357248e-04	5.000000e+00	3.200665e-01
2.844326172357248e-04	5.000000e+00	2.902695e-01
2.941982422357248e-04	5.000000e+00	2.632469e-01
3.039638672357248e-04	5.000000e+00	2.387405e-01
3.137294922357248e-04	5.000000e+00	2.165158e-01
3.234951172357248e-04	5.000000e+00	1.963605e-01
3.332607422357249e-04	5.000000e+00	1.780819e-01
3.430263672357249e-04	5.000000e+00	1.615052e-01
3.527919922357249e-04	5.000000e+00	1.464720e-01
3.625576172357249e-04	5.000000e+00	1.328385e-01
3.723232422357249e-04	5.000000e+00	1.204745e-01
3.820888672357249e-04	5.000000e+00	1.092617e-01
3.918544922357249e-04	5.000000e+00	9.909289e-02
4.016201172357249e-04	5.000000e+00	8.987094e-02
4.113857422357249e-04	5.000000e+00	8.150764e-02
4.211513672357249e-04	5.000000e+00	7.392306e-02
4.309169922357249e-04	5.000000e+00	6.704468e-02
4.406826172357250e-04	5.000000e+00	6.080676e-02
4.504482422357250e-04	5.000000e+00	5.514965e-02
4.602138672357250e-04	5.000000e+00	5.001928e-02
4.699794922357250e-04	5.000000e+00	4.536660e-02
4.797451172357250e-04	5.000000e+00	4.114714e-02
4.895107422357250e-04	5.000000e+00	3.732055e-02
5.000000001000000e-04	5.000000e+00	3.360748e-02
5.000000002000000e-04	-5.000000e+00	-9.966393e+00
5.052444452545803e-04	-5.000000e+00	-9.459703e+00
5.104888903091606e-04	-5.000000e+00	-8.976012e+00
5.157333353637410e-04	-5.000000e+00	-8.515320e+00
5.209777804183214e-04	-5.000000e+00	-8.077628e+00
5.262222254729018e-04	-5.000000e+00	-7.662935e+00
5.314666705274820e-04	-5.000000e+00	-7.271241e+00
5.367111155820624e-04	-5.000000e+00	-6.902546e+00
5.464767405820624e-04	-5.000000e+00	-6.259849e+00
5.562423655820624e-04	-5.000000e+00	-5.676994e+00
5.660079905820624e-04	-5.000000e+00	-5.148410e+00
5.757736155820624e-04	-5.000000e+00	-4.669042e+00
5.855392405820625e-04	-5.000000e+00	-4.234309e+00
5.953048655820625e-04	-5.000000e+00	-3.840054e+00
6.050704905820625e-04	-5.000000e+00	-3.482508e+00
6.148361155820625e-04	-5.000000e+00	-3.158254e+00
6.246017405820625e-04	-5.000000e+00	-2.864191e+00
6.343673655820625e-04	-5.000000e+00	-2.597509e+00
6.441329905820625e-04	-5.000000e+00	-2.355657e+00
6.538986155820625e-04	-5.000000e+00	-2.136325e+00
6.636642405820625e-04	-5.000000e+00	-1.937415e+00
6.734298655820625e-04	-5.000000e+00	-1.757025e+00
6.831954905820625e-04	-5.000000e+00	-1.593432e+00
6.929611155820626e-04	-5.000000e+00	-1.445071e+00
7.027267405820626e-04	-5.000000e+00	-1.310524e+00
7.124923655820626e-04	-5.000000e+00	-1.188505e+00
7.222579905820626e-04	-5.000000e+00	-1.077847e+00
7.320236155820626e-04	-5.000000e+00	-9.774924e-01
7.417892405820626e-04	-5.000000e+00	-8.864820e-01
7.515548655820626e-04	-5.000000e+00	-8.039456e-01
7.613204905820626e-04	-5.000000e+00	-7.290943e-01
7.710861155820626e-04	-5.000000e+00	-6.612124e-01
7.808517405820626e-04	-5.000000e+00	-5.996511e-01
7.906173655820626e-04	-5.000000e+00	-5.438218e-01
8.003829905820626e-04	-5.000000e+00	-4.931908e-01
8.101486155820627e-04	-5.000000e+00	-4.472741e-01
8.199142405820627e-04	-5.000000e+00	-4.056327e-01
8.296798655820627e-04	-5.000000e+00	-3.678686e-01
8.394454905820627e-04	-5.000000e+00	-3.336207e-01
