;Scopy version,8ade0b5a
;Exported on,Thursday April 03/04/2025
;Device,M2K
;Nr of samples,1000
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,1,18.0088,1.11313
1,1.01627,0.0236709,-0.158879
2,1.03279,0.00938248,-0.425631
3,1.04959,0.0230458,-0.642872
4,1.06666,-0.00197541,-0.853291
5,1.08401,0.00388892,-1.02166
6,1.10165,0.00448067,0.2296
7,1.11956,-0.00109415,0.030409
8,1.13777,-0.00153567,0.116546
9,1.15628,-0.0169889,0.0429055
10,1.17509,-5.70092e-05,-0.689602
11,1.1942,-0.00631766,0.222219
12,1.21362,-0.00513192,0.213986
13,1.23336,-0.00396757,0.157973
14,1.25342,0.00540575,-0.018349
15,1.27381,-0.00235181,-0.00928304
16,1.29453,-0.0196635,-0.378647
17,1.31559,-0.0112563,-0.202807
18,1.33698,0.000280288,-0.154665
19,1.35873,-0.00847975,0.190974
20,1.38083,-0.00598232,-0.220047
21,1.40329,0.0117575,-0.160655
22,1.42611,-0.00825407,-0.00772799
23,1.44931,-0.0109985,0.119116
24,1.47288,-0.0186245,-0.275712
25,1.49684,-0.024043,0.0856659
26,1.52119,-0.019386,0.184454
27,1.54593,-0.0148444,0.246192
28,1.57107,-0.0357787,0.21442
29,1.59663,-0.025612,0.0634301
30,1.6226,-0.0294328,0.270327
31,1.64899,-0.0315131,0.201127
32,1.67581,-0.0200351,0.116933
33,1.70307,-0.0112176,0.0850604
34,1.73077,-0.0135753,0.187856
35,1.75892,-0.028853,-0.0464906
36,1.78753,-0.00872227,-0.129977
37,1.8166,-0.0204307,0.139937
38,1.84615,-0.0176317,0.107435
39,1.87617,-0.02118,-0.0121217
40,1.90669,-0.0231189,-0.413944
41,1.9377,-0.0169118,0.162125
42,1.96922,-0.022466,0.0422773
43,2.00125,-0.0271728,0.280081
44,2.0338,-0.0241228,-0.309619
45,2.06688,-0.0375786,-0.012378
46,2.1005,-0.0268169,0.336745
47,2.13466,-0.0276968,0.0815417
48,2.16938,-0.0280279,0.00442431
49,2.20467,-0.017606,-0.0590661
50,2.24053,-0.0125138,0.0429433
51,2.27697,-0.0260782,-0.0313148
52,2.31401,-0.020748,0.0010186
53,2.35164,-0.0171224,-0.0124381
54,2.38989,-0.0191068,0.00785906
55,2.42876,-0.0146424,0.0732821
56,2.46827,-0.0149806,0.0468194
57,2.50842,-0.0118081,0.104652
58,2.54921,-0.0169685,-0.0655736
59,2.59068,-0.0174488,-0.140299
60,2.63282,-0.0148081,-0.143247
61,2.67564,-0.0188577,0.0673214
62,2.71916,-0.00207918,0.0789823
63,2.76339,-0.00762508,-0.0891384
