Freq.	V(n003)
1.00000000000000e+00	(1.39793987329299e+01dB,-3.38400139678099e-02°)
1.00230523807790e+00	(1.39793987266802e+01dB,-3.39180231643195e-02°)
1.00461579027839e+00	(1.39793987204035e+01dB,-3.39962118966880e-02°)
1.00693166885180e+00	(1.39793987140973e+01dB,-3.40745815897933e-02°)
1.00925288607668e+00	(1.39793987077597e+01dB,-3.41531312258499e-02°)
1.01157945425990e+00	(1.39793987013966e+01dB,-3.42318630439909e-02°)
1.01391138573668e+00	(1.39793986950013e+01dB,-3.43107752121899e-02°)
1.01624869287070e+00	(1.39793986885770e+01dB,-3.43898695624581e-02°)
1.01859138805412e+00	(1.39793986821239e+01dB,-3.44691465019073e-02°)
1.02093948370768e+00	(1.39793986756406e+01dB,-3.45486060305306e-02°)
1.02329299228075e+00	(1.39793986691269e+01dB,-3.46282483518827e-02°)
1.02565192625141e+00	(1.39793986625850e+01dB,-3.47080748908599e-02°)
1.02801629812647e+00	(1.39793986560101e+01dB,-3.47880850367761e-02°)
1.03038612044162e+00	(1.39793986494067e+01dB,-3.48682802145369e-02°)
1.03276140576140e+00	(1.39793986427728e+01dB,-3.49486602205787e-02°)
1.03514216667934e+00	(1.39793986361074e+01dB,-3.50292246477850e-02°)
1.03752841581801e+00	(1.39793986294112e+01dB,-3.51099753281582e-02°)
1.03992016582906e+00	(1.39793986226841e+01dB,-3.51909120581414e-02°)
1.04231742939330e+00	(1.39793986159274e+01dB,-3.52720358555163e-02°)
1.04472021922080e+00	(1.39793986091385e+01dB,-3.53533463131617e-02°)
1.04712854805090e+00	(1.39793986023174e+01dB,-3.54348440417424e-02°)
1.04954242865232e+00	(1.39793985954652e+01dB,-3.55165294483742e-02°)
1.05196187382322e+00	(1.39793985885834e+01dB,-3.55984035508387e-02°)
1.05438689639126e+00	(1.39793985816674e+01dB,-3.56804661455622e-02°)
1.05681750921366e+00	(1.39793985747208e+01dB,-3.57627186574470e-02°)
1.05925372517729e+00	(1.39793985677422e+01dB,-3.58451602722641e-02°)
1.06169555719872e+00	(1.39793985607314e+01dB,-3.59277918042343e-02°)
1.06414301822431e+00	(1.39793985536878e+01dB,-3.60106138640207e-02°)
1.06659612123026e+00	(1.39793985466116e+01dB,-3.60936270622905e-02°)
1.06905487922266e+00	(1.39793985395014e+01dB,-3.61768309919255e-02°)
1.07151930523760e+00	(1.39793985323602e+01dB,-3.62602272813818e-02°)
1.07398941234124e+00	(1.39793985251866e+01dB,-3.63438157270968e-02°)
1.07646521362983e+00	(1.39793985179789e+01dB,-3.64275971432854e-02°)
1.07894672222983e+00	(1.39793985107370e+01dB,-3.65115709192795e-02°)
1.08143395129794e+00	(1.39793985034626e+01dB,-3.65957390906408e-02°)
1.08392691402120e+00	(1.39793984961546e+01dB,-3.66801004360306e-02°)
1.08642562361706e+00	(1.39793984888129e+01dB,-3.67646571945580e-02°)
1.08893009333343e+00	(1.39793984814377e+01dB,-3.68494087555575e-02°)
1.09144033644875e+00	(1.39793984740276e+01dB,-3.69343551190213e-02°)
1.09395636627209e+00	(1.39793984665833e+01dB,-3.70194973027296e-02°)
1.09647819614318e+00	(1.39793984591060e+01dB,-3.71048367315751e-02°)
1.09900583943252e+00	(1.39793984515929e+01dB,-3.71903717771007e-02°)
1.10153930954141e+00	(1.39793984440455e+01dB,-3.72761044748678e-02°)
1.10407861990207e+00	(1.39793984364637e+01dB,-3.73620348248749e-02°)
1.10662378397766e+00	(1.39793984288465e+01dB,-3.74481630306720e-02°)
1.10917481526240e+00	(1.39793984211941e+01dB,-3.75344901100370e-02°)
1.11173172728159e+00	(1.39793984135060e+01dB,-3.76210156558556e-02°)
1.11429453359173e+00	(1.39793984057823e+01dB,-3.77077410930162e-02°)
1.11686324778056e+00	(1.39793983980234e+01dB,-3.77946664215198e-02°)
1.11943788346715e+00	(1.39793983902302e+01dB,-3.78817926591462e-02°)
1.12201845430196e+00	(1.39793983823981e+01dB,-3.79691187880981e-02°)
1.12460497396692e+00	(1.39793983745318e+01dB,-3.80566466403936e-02°)
1.12719745617551e+00	(1.39793983666297e+01dB,-3.81443764195807e-02°)
1.12979591467279e+00	(1.39793983586887e+01dB,-3.82323079220899e-02°)
1.13240036323555e+00	(1.39793983507120e+01dB,-3.83204423692669e-02°)
1.13501081567231e+00	(1.39793983426999e+01dB,-3.84087803717785e-02°)
1.13762728582343e+00	(1.39793983346498e+01dB,-3.84973219296129e-02°)
1.14024978756117e+00	(1.39793983265622e+01dB,-3.85860668392151e-02°)
1.14287833478977e+00	(1.39793983184382e+01dB,-3.86750171361445e-02°)
1.14551294144553e+00	(1.39793983102762e+01dB,-3.87641724132821e-02°)
1.14815362149688e+00	(1.39793983020760e+01dB,-3.88535328741817e-02°)
1.15080038894443e+00	(1.39793982938380e+01dB,-3.89430995366213e-02°)
1.15345325782109e+00	(1.39793982855634e+01dB,-3.90328728077162e-02°)
1.15611224219210e+00	(1.39793982772497e+01dB,-3.91228524838991e-02°)
1.15877735615512e+00	(1.39793982688971e+01dB,-3.92130397865029e-02°)
1.16144861384034e+00	(1.39793982605068e+01dB,-3.93034357333099e-02°)
1.16412602941049e+00	(1.39793982520765e+01dB,-3.93940391029746e-02°)
1.16680961706096e+00	(1.39793982436091e+01dB,-3.94848517275098e-02°)
1.16949939101987e+00	(1.39793982351017e+01dB,-3.95758736069007e-02°)
1.17219536554813e+00	(1.39793982265555e+01dB,-3.96671059624848e-02°)
1.17489755493953e+00	(1.39793982179689e+01dB,-3.97585477764766e-02°)
1.17760597352080e+00	(1.39793982093436e+01dB,-3.98502010844374e-02°)
1.18032063565173e+00	(1.39793982006776e+01dB,-3.99420650721354e-02°)
1.18304155572516e+00	(1.39793981919711e+01dB,-4.00341405537923e-02°)
1.18576874816716e+00	(1.39793981832258e+01dB,-4.01264289543035e-02°)
1.18850222743701e+00	(1.39793981744397e+01dB,-4.02189298665474e-02°)
1.19124200802737e+00	(1.39793981656134e+01dB,-4.03116445118595e-02°)
1.19398810446427e+00	(1.39793981567456e+01dB,-4.04045718724541e-02°)
1.19674053130724e+00	(1.39793981478382e+01dB,-4.04977141874501e-02°)
1.19949930314937e+00	(1.39793981388883e+01dB,-4.05910708461662e-02°)
1.20226443461741e+00	(1.39793981298965e+01dB,-4.06846430699377e-02°)
1.20503594037179e+00	(1.39793981208647e+01dB,-4.07784306552161e-02°)
1.20781383510677e+00	(1.39793981117913e+01dB,-4.08724346197700e-02°)
1.21059813355048e+00	(1.39793981026749e+01dB,-4.09666555742597e-02°)
1.21338885046497e+00	(1.39793980935175e+01dB,-4.10610935186918e-02°)
1.21618600064636e+00	(1.39793980843168e+01dB,-4.11557488601665e-02°)
1.21898959892486e+00	(1.39793980750741e+01dB,-4.12506226164659e-02°)
1.22179966016487e+00	(1.39793980657888e+01dB,-4.13457151946967e-02°)
1.22461619926504e+00	(1.39793980564616e+01dB,-4.14410270019719e-02°)
1.22743923115840e+00	(1.39793980470889e+01dB,-4.15365580382745e-02°)
1.23026877081238e+00	(1.39793980376753e+01dB,-4.16323101356234e-02°)
1.23310483322890e+00	(1.39793980282165e+01dB,-4.17282818691084e-02°)
1.23594743344450e+00	(1.39793980187149e+01dB,-4.18244756814065e-02°)
1.23879658653036e+00	(1.39793980091694e+01dB,-4.19208909618445e-02°)
1.24165230759240e+00	(1.39793979995803e+01dB,-4.20175287282000e-02°)
1.24451461177138e+00	(1.39793979899475e+01dB,-4.21143893875817e-02°)
1.24738351424294e+00	(1.39793979802688e+01dB,-4.22114729399786e-02°)
1.25025903021771e+00	(1.39793979705458e+01dB,-4.23087804031748e-02°)
1.25314117494141e+00	(1.39793979607771e+01dB,-4.24063119807167e-02°)
1.25602996369487e+00	(1.39793979509652e+01dB,-4.25040686903932e-02°)
1.25892541179416e+00	(1.39793979411065e+01dB,-4.26020505321861e-02°)
1.26182753459066e+00	(1.39793979312023e+01dB,-4.27002585238773e-02°)
1.26473634747114e+00	(1.39793979212529e+01dB,-4.27986924619116e-02°)
1.26765186585784e+00	(1.39793979112576e+01dB,-4.28973537711722e-02°)
1.27057410520853e+00	(1.39793979012171e+01dB,-4.29962424516620e-02°)
1.27350308101665e+00	(1.39793978911288e+01dB,-4.30953587069222e-02°)
1.27643880881134e+00	(1.39793978809949e+01dB,-4.31947041654060e-02°)
1.27938130415752e+00	(1.39793978708132e+01dB,-4.32942782164353e-02°)
1.28233058265601e+00	(1.39793978605851e+01dB,-4.33940816742364e-02°)
1.28528665994361e+00	(1.39793978503102e+01dB,-4.34941153530294e-02°)
1.28824955169313e+00	(1.39793978399865e+01dB,-4.35943794563574e-02°)
1.29121927361353e+00	(1.39793978296165e+01dB,-4.36948752055649e-02°)
1.29419584144998e+00	(1.39793978191987e+01dB,-4.37956021935319e-02°)
1.29717927098395e+00	(1.39793978087314e+01dB,-4.38965612344705e-02°)
1.30016957803328e+00	(1.39793977982176e+01dB,-4.39977533461720e-02°)
1.30316677845229e+00	(1.39793977876534e+01dB,-4.40991785286151e-02°)
1.30617088813183e+00	(1.39793977770414e+01dB,-4.42008373924779e-02°)
1.30918192299940e+00	(1.39793977663804e+01dB,-4.43027309555305e-02°)
1.31219989901919e+00	(1.39793977556702e+01dB,-4.44048594213256e-02°)
1.31522483219223e+00	(1.39793977449102e+01dB,-4.45072227898588e-02°)
1.31825673855640e+00	(1.39793977341018e+01dB,-4.46098226895801e-02°)
1.32129563418657e+00	(1.39793977232422e+01dB,-4.47126589169176e-02°)
1.32434153519466e+00	(1.39793977123329e+01dB,-4.48157322861000e-02°)
1.32739445772973e+00	(1.39793977013727e+01dB,-4.49190430006752e-02°)
1.33045441797808e+00	(1.39793976903630e+01dB,-4.50225916713143e-02°)
1.33352143216332e+00	(1.39793976793019e+01dB,-4.51263799264508e-02°)
1.33659551654643e+00	(1.39793976681902e+01dB,-4.52304071554209e-02°)
1.33967668742593e+00	(1.39793976570264e+01dB,-4.53346737653254e-02°)
1.34276496113785e+00	(1.39793976458114e+01dB,-4.54391807739460e-02°)
1.34586035405594e+00	(1.39793976345447e+01dB,-4.55439291990550e-02°)
1.34896288259164e+00	(1.39793976232265e+01dB,-4.56489186335411e-02°)
1.35207256319427e+00	(1.39793976118550e+01dB,-4.57541505022822e-02°)
1.35518941235103e+00	(1.39793976004316e+01dB,-4.58596243981724e-02°)
1.35831344658714e+00	(1.39793975889559e+01dB,-4.59653419496520e-02°)
1.36144468246594e+00	(1.39793975774258e+01dB,-4.60713025460424e-02°)
1.36458313658891e+00	(1.39793975658439e+01dB,-4.61775078157989e-02°)
1.36772882559584e+00	(1.39793975542086e+01dB,-4.62839581660222e-02°)
1.37088176616484e+00	(1.39793975425186e+01dB,-4.63906533931491e-02°)
1.37404197501251e+00	(1.39793975307751e+01dB,-4.64975951256274e-02°)
1.37720946889394e+00	(1.39793975189774e+01dB,-4.66047831598967e-02°)
1.38038426460287e+00	(1.39793975071252e+01dB,-4.67122183101754e-02°)
1.38356637897177e+00	(1.39793974952189e+01dB,-4.68199009835743e-02°)
1.38675582887188e+00	(1.39793974832571e+01dB,-4.69278319943070e-02°)
1.38995263121334e+00	(1.39793974712396e+01dB,-4.70360115459261e-02°)
1.39315680294529e+00	(1.39793974591671e+01dB,-4.71444408597659e-02°)
1.39636836105593e+00	(1.39793974470388e+01dB,-4.72531201393766e-02°)
1.39958732257261e+00	(1.39793974348542e+01dB,-4.73620495883079e-02°)
1.40281370456195e+00	(1.39793974226137e+01dB,-4.74712304278945e-02°)
1.40604752412990e+00	(1.39793974103173e+01dB,-4.75806628616888e-02°)
