;Scopy version,b3d077f6
;Exported on,Saturday April 12/04/2025
;Device,M2K
;Nr of samples,2000
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,1000,-22.0847,-11.5206
1,1004.62,-2.97547,-12.1407
2,1009.26,-1.65694,-11.5073
3,1013.92,-1.66322,-11.5632
4,1018.6,-1.65677,-11.5481
5,1023.3,-1.64295,-11.7796
6,1028.03,-1.6577,-11.7252
7,1032.78,-1.66838,-11.7255
8,1037.55,-1.67086,-11.8311
9,1042.34,-1.65961,-11.8639
10,1047.15,-1.65079,-11.8517
11,1051.99,-1.66412,-11.961
12,1056.85,-1.65287,-12.1713
13,1061.73,-1.6621,-12.0354
14,1066.63,-1.67814,-12.1282
15,1071.56,-1.66018,-12.1607
16,1076.5,-1.6674,-12.2086
17,1081.48,-1.67356,-12.3169
18,1086.47,-1.67266,-12.3097
19,1091.49,-1.68065,-12.525
20,1096.53,-1.68583,-12.341
21,1101.59,-1.67546,-12.5353
22,1106.68,-1.68884,-12.5177
23,1111.79,-1.68022,-12.6183
24,1116.93,-1.6696,-12.8752
25,1122.08,-1.67917,-12.6985
26,1127.26,-1.66697,-12.808
27,1132.47,-1.66329,-12.7986
28,1137.7,-1.68195,-12.9571
29,1142.95,-1.65816,-12.99
30,1148.23,-1.68435,-13.0094
31,1153.54,-1.69015,-13.1336
32,1158.86,-1.69064,-13.1443
33,1164.21,-1.68965,-13.2502
34,1169.59,-1.71194,-13.1823
35,1174.99,-1.6871,-13.35
36,1180.42,-1.70011,-13.3653
37,1185.87,-1.68403,-13.5195
38,1191.35,-1.69671,-13.5211
39,1196.85,-1.69772,-13.4446
40,1202.38,-1.69105,-13.5953
41,1207.93,-1.69976,-13.608
42,1213.51,-1.68271,-13.5636
43,1219.11,-1.70207,-13.8157
44,1224.74,-1.69735,-14.033
45,1230.4,-1.69929,-13.7582
46,1236.08,-1.69916,-13.9669
47,1241.79,-1.68325,-14.3172
48,1247.52,-1.69603,-14.12
49,1253.28,-1.71595,-14.1589
50,1259.07,-1.72403,-14.2144
51,1264.88,-1.70406,-14.305
52,1270.73,-1.71996,-14.3097
53,1276.59,-1.72411,-14.4172
54,1282.49,-1.69247,-14.56
55,1288.41,-1.72112,-14.5718
56,1294.36,-1.71833,-14.6537
57,1300.34,-1.72302,-14.402
58,1306.35,-1.71674,-14.7362
59,1312.38,-1.72074,-14.7239
60,1318.44,-1.73852,-14.7885
61,1324.53,-1.69109,-14.9217
62,1330.64,-1.71366,-14.9949
63,1336.79,-1.74364,-15.0056
64,1342.96,-1.72911,-15.3004
65,1349.16,-1.72805,-15.2001
66,1355.4,-1.72689,-15.0877
67,1361.65,-1.71864,-15.4866
68,1367.94,-1.72099,-15.476
69,1374.26,-1.72577,-15.3568
70,1380.61,-1.71971,-15.3832
71,1386.98,-1.727,-15.673
72,1393.39,-1.71237,-15.7378
73,1399.82,-1.72639,-15.9241
74,1406.29,-1.73306,-15.8046
75,1412.78,-1.7516,-15.8237
76,1419.31,-1.75065,-16.136
77,1425.86,-1.74543,-16.1476
78,1432.45,-1.74094,-15.9805
79,1439.06,-1.77704,-16.0792
80,1445.71,-1.73735,-16.3542
81,1452.38,-1.77047,-16.2029
82,1459.09,-1.74483,-16.4536
83,1465.83,-1.76192,-16.4059
84,1472.6,-1.74572,-16.7443
85,1479.4,-1.74766,-16.7072
86,1486.23,-1.72817,-16.7048
87,1493.09,-1.72917,-16.6414
88,1499.99,-1.74382,-16.9343
89,1506.92,-1.74943,-16.6935
90,1513.88,-1.75449,-17.0302
91,1520.87,-1.77722,-16.9871
92,1527.89,-1.73295,-16.9075
93,1534.95,-1.7724,-17.2567
94,1542.03,-1.7618,-17.0723
95,1549.16,-1.76232,-17.4762
96,1556.31,-1.77033,-17.3545
97,1563.5,-1.7547,-17.2315
98,1570.72,-1.766,-17.7455
99,1577.97,-1.79704,-17.3818
100,1585.26,-1.77277,-17.891
101,1592.58,-1.79504,-17.8105
102,1599.93,-1.77333,-18.0168
103,1607.32,-1.77819,-17.9469
104,1614.75,-1.81854,-18.0032
105,1622.2,-1.78337,-18.1625
106,1629.69,-1.79776,-18.1025
107,1637.22,-1.77557,-18.4131
108,1644.78,-1.76383,-18.5511
109,1652.38,-1.78442,-18.6329
110,1660.01,-1.77698,-18.5249
111,1667.67,-1.75534,-18.937
112,1675.38,-1.79793,-18.6895
113,1683.11,-1.75866,-19.0703
114,1690.88,-1.78406,-19.1176
115,1698.69,-1.79667,-18.7343
116,1706.54,-1.80544,-19.1273
117,1714.42,-1.79248,-19.0353
118,1722.34,-1.79665,-19.4039
119,1730.29,-1.78168,-19.4608
120,1738.28,-1.80514,-19.532
121,1746.31,-1.82732,-19.4714
122,1754.37,-1.81178,-19.7178
123,1762.48,-1.80639,-19.9319
124,1770.61,-1.8252,-19.3804
125,1778.79,-1.812,-19.8989
126,1787.01,-1.87207,-20.1048
127,1795.26,-1.83892,-20.0762
128,1803.55,-1.79156,-20.4484
129,1811.88,-1.80728,-20.4254
130,1820.25,-1.79249,-20.6496
131,1828.65,-1.84456,-20.6256
132,1837.1,-1.79667,-20.4028
133,1845.58,-1.80425,-20.7062
134,1854.1,-1.85355,-20.9953
135,1862.67,-1.84025,-20.7878
136,1871.27,-1.83697,-21.2312
137,1879.91,-1.84966,-20.9878
138,1888.59,-1.84581,-20.8194
139,1897.31,-1.85386,-21.1731
140,1906.08,-1.90826,-21.2711
141,1914.88,-1.83072,-21.2982
142,1923.72,-1.87478,-20.9948
143,1932.6,-1.87481,-21.3983
144,1941.53,-1.85096,-21.7704
145,1950.5,-1.81805,-21.6359
146,1959.5,-1.84919,-21.978
147,1968.55,-1.88876,-21.6533
148,1977.64,-1.86427,-22.1124
149,1986.78,-1.90684,-22.1568
150,1995.95,-1.87347,-22.3291
151,2005.17,-1.86768,-22.7137
152,2014.43,-1.88276,-22.5582
153,2023.73,-1.86557,-22.2702
154,2033.08,-1.84345,-22.8817
155,2042.47,-1.81744,-23.126
156,2051.9,-1.86478,-23.2093
157,2061.38,-1.87115,-23.109
158,2070.89,-1.84885,-22.9066
159,2080.46,-1.87548,-23.3515
160,2090.07,-1.83216,-23.1869
161,2099.72,-1.86299,-23.52
162,2109.42,-1.81594,-23.4102
163,2119.16,-1.88156,-23.8525
164,2128.94,-1.82905,-24.0823
165,2138.77,-1.85372,-23.7159
166,2148.65,-1.87963,-24.014
167,2158.57,-1.9138,-23.7571
168,2168.54,-1.89951,-24.1674
169,2178.56,-1.87915,-23.8921
170,2188.62,-1.92467,-24.3431
171,2198.73,-1.95566,-24.5167
172,2208.88,-1.94141,-24.548
173,2219.08,-1.89461,-24.7656
174,2229.33,-1.85973,-24.5259
175,2239.62,-1.93,-24.9928
176,2249.97,-1.94492,-24.3291
177,2260.36,-1.88985,-24.9724
178,2270.8,-1.89848,-25.2949
179,2281.28,-1.95425,-25.5775
180,2291.82,-1.9094,-25.3795
181,2302.4,-1.84993,-25.507
182,2313.03,-1.89131,-25.4756
183,2323.72,-1.91946,-25.8814
184,2334.45,-1.85672,-25.7712
185,2345.23,-1.92839,-25.8456
186,2356.06,-1.86627,-25.8562
187,2366.94,-1.88231,-26.2247
188,2377.87,-1.93485,-26.3923
189,2388.85,-1.92916,-26.0582
190,2399.88,-1.96338,-26.7467
191,2410.97,-1.8558,-26.7811
192,2422.1,-1.89479,-26.8806
193,2433.29,-1.95549,-26.8618
194,2444.52,-2.01277,-27.059
195,2455.81,-1.96228,-27.0077
196,2467.15,-1.95645,-27.3516
197,2478.55,-1.98063,-27.0046
198,2489.99,-1.93558,-27.4546
199,2501.49,-2.03849,-27.6393
200,2513.04,-1.9831,-27.3351
201,2524.65,-1.95212,-27.7944
202,2536.31,-2.05277,-28.0675
203,2548.02,-1.92466,-27.926
204,2559.79,-1.96534,-28.4226
205,2571.61,-1.9314,-28.8227
206,2583.49,-1.92808,-28.5927
207,2595.42,-1.97203,-28.7301
208,2607.4,-1.9716,-28.1356
209,2619.44,-1.95568,-29.1336
210,2631.54,-1.98373,-29.06
211,2643.69,-1.91194,-29.2155
212,2655.9,-2.01695,-29.432
213,2668.17,-1.9948,-28.7125
214,2680.49,-2.05772,-29.3731
215,2692.87,-1.96708,-29.8077
216,2705.3,-1.97474,-30.4389
217,2717.8,-1.95924,-29.4996
218,2730.35,-2.03584,-30.0726
219,2742.96,-2.0817,-30.5824
220,2755.62,-2.07627,-30.5076
221,2768.35,-1.98604,-30.6046
222,2781.14,-1.89615,-30.5174
223,2793.98,-2.04551,-30.3034
224,2806.88,-1.99821,-30.7233
225,2819.84,-2.08478,-31.226
226,2832.87,-1.95506,-30.7986
227,2845.95,-1.99438,-31.3058
228,2859.09,-2.1113,-31.491
229,2872.3,-2.0887,-31.902
230,2885.56,-2.02167,-31.3677
231,2898.89,-2.04703,-30.6765
232,2912.27,-1.99213,-31.371
233,2925.72,-2.07846,-31.8163
234,2939.23,-2.05586,-32.208
235,2952.81,-2.10303,-32.8404
236,2966.44,-2.12031,-32.4505
237,2980.14,-2.07753,-32.5872
238,2993.91,-1.97632,-33.1161
239,3007.73,-2.09062,-33.1954
240,3021.62,-2.0499,-33.1489
241,3035.58,-2.10539,-33.6809
242,3049.59,-2.02514,-33.7024
243,3063.68,-2.10401,-33.1133
244,3077.83,-2.01332,-34.2418
245,3092.04,-2.18343,-34.0311
246,3106.32,-2.04691,-33.6144
247,3120.66,-2.08819,-34.0602
248,3135.08,-2.03336,-33.2919
249,3149.55,-2.1091,-34.8278
250,3164.1,-2.1338,-34.5202
251,3178.71,-2.2075,-33.6591
252,3193.39,-2.20212,-34.2085
253,3208.14,-2.16042,-34.6025
254,3222.95,-2.13294,-35.0103
255,3237.84,-2.19616,-34.2102
256,3252.79,-2.1667,-35.6606
257,3267.81,-2.10173,-35.4196
258,3282.9,-2.03398,-34.9524
259,3298.06,-2.05466,-36.0914
260,3313.3,-2.21571,-35.9743
261,3328.6,-2.16268,-36.0464
262,3343.97,-2.08504,-35.2006
263,3359.41,-2.24678,-36.1071
264,3374.93,-2.12364,-36.4978
265,3390.51,-2.18997,-35.2784
266,3406.17,-2.11549,-37.5148
267,3421.9,-2.10659,-36.9945
268,3437.7,-2.20174,-36.9032
269,3453.58,-2.03107,-36.9508
270,3469.53,-2.11529,-37.9237
271,3485.55,-2.14795,-37.8523
272,3501.65,-2.21066,-37.8365
273,3517.82,-2.33999,-37.235
274,3534.06,-2.16733,-38.654
275,3550.38,-2.22285,-37.7865
276,3566.78,-2.21848,-38.3958
277,3583.25,-2.35928,-38.0048
278,3599.8,-2.21661,-39.3087
279,3616.42,-2.23397,-39.189
280,3633.12,-2.24049,-38.9805
281,3649.9,-2.38356,-38.7945
282,3666.76,-2.19697,-39.8628
283,3683.69,-2.21709,-39.6803
284,3700.7,-2.28006,-39.636
285,3717.79,-2.18132,-38.6855
286,3734.96,-2.28215,-39.0441
287,3752.21,-2.22466,-39.9964
288,3769.54,-2.28161,-40.2442
289,3786.95,-2.30859,-39.0314
290,3804.43,-2.25023,-40.0012
291,3822,-2.36262,-41.1901
292,3839.65,-2.32262,-41.0535
293,3857.39,-2.30082,-39.6652
294,3875.2,-2.45131,-40.6844
295,3893.1,-2.44368,-41.3558
296,3911.08,-2.33762,-41.4387
297,3929.14,-2.18787,-41.4024
298,3947.28,-2.23355,-42.1664
299,3965.51,-2.47763,-42.4758
300,3983.82,-2.34937,-42.1009
301,4002.22,-2.37003,-43.6533
302,4020.7,-2.31036,-41.6135
303,4039.27,-2.46257,-43.5599
304,4057.93,-2.42488,-42.5268
305,4076.67,-2.42117,-43.1084
306,4095.49,-2.46083,-42.0026
307,4114.41,-2.40704,-44.4157
308,4133.41,-2.44652,-44.2578
309,4152.5,-2.50132,-44.0484
310,4171.67,-2.65478,-43.3997
311,4190.94,-2.50492,-45.2587
312,4210.29,-2.61628,-44.4119
313,4229.73,-2.50865,-45.0645
314,4249.27,-2.51686,-44.622
315,4268.89,-2.34252,-45.4397
316,4288.61,-2.38084,-45.1274
317,4308.41,-2.63693,-45.4667
318,4328.31,-2.53844,-45.7842
319,4348.3,-2.69786,-44.2527
320,4368.38,-2.74391,-45.3664
321,4388.55,-2.56391,-46.9818
322,4408.82,-2.49634,-46.2466
323,4429.18,-2.65007,-46.4115
324,4449.63,-2.80315,-46.4686
325,4470.18,-2.75965,-45.8144
326,4490.83,-2.67781,-47.9109
327,4511.56,-2.69637,-47.4934
328,4532.4,-2.67877,-47.4239
329,4553.33,-2.89873,-47.6264
330,4574.36,-2.81752,-46.7345
331,4595.48,-2.53098,-47.9379
332,4616.71,-2.60309,-48.2384
333,4638.03,-2.74008,-48.2261
334,4659.44,-2.64764,-46.7881
335,4680.96,-2.59211,-47.6839
336,4702.58,-2.59586,-48.3891
337,4724.3,-2.83289,-49.4861
338,4746.11,-2.72123,-49.2637
339,4768.03,-2.54025,-48.6753
340,4790.05,-2.59033,-48.8149
341,4812.17,-2.64193,-50.1855
342,4834.4,-2.89675,-50.5935
343,4856.72,-2.76031,-50.1002
344,4879.15,-3.04993,-50.4661
345,4901.68,-2.84194,-52.1052
346,4924.32,-3.01278,-51.0166
347,4947.06,-2.96568,-50.1881
348,4969.91,-2.91833,-51.6473
349,4992.86,-2.88973,-51.1936
350,5015.92,-2.87397,-52.1865
351,5039.08,-2.96997,-52.5093
352,5062.35,-2.79344,-51.8439
353,5085.73,-2.83248,-51.9583
354,5109.21,-2.92101,-52.4977
355,5132.81,-2.91929,-52.8293
356,5156.51,-3.09912,-52.2738
357,5180.33,-2.9413,-53.7524
358,5204.25,-2.99182,-53.9626
359,5228.28,-3.02271,-53.8642
360,5252.43,-2.99744,-53.4715
361,5276.69,-2.94754,-53.8265
362,5301.05,-2.9519,-53.177
363,5325.53,-2.93089,-54.3539
364,5350.13,-3.21126,-54.2505
365,5374.84,-3.02888,-54.7504
366,5399.66,-3.12637,-54.6489
367,5424.59,-3.04663,-54.1228
368,5449.64,-3.027,-54.4659
369,5474.81,-3.06185,-56.1129
370,5500.09,-3.07788,-54.9934
371,5525.49,-3.18901,-56.216
372,5551.01,-3.21025,-55.8925
373,5576.65,-3.28344,-56.3116
374,5602.4,-3.29238,-55.5124
375,5628.27,-3.38235,-56.5751
376,5654.27,-3.20398,-57.5383
377,5680.38,-3.19117,-56.6604
378,5706.61,-3.28055,-57.2916
379,5732.96,-3.3207,-56.6496
380,5759.44,-3.17358,-57.4582
381,5786.04,-3.18245,-58.1188
382,5812.76,-3.45203,-58.5104
383,5839.6,-3.33169,-57.5172
384,5866.57,-3.37138,-58.6809
385,5893.66,-3.32372,-58.2202
386,5920.88,-3.52778,-58.8984
387,5948.22,-3.27724,-58.802
388,5975.69,-3.35105,-60.1281
389,6003.29,-3.52348,-58.7664
390,6031.01,-3.5374,-59.9311
391,6058.86,-3.48943,-59.9338
392,6086.84,-3.48873,-60.4749
393,6114.95,-3.5224,-61.1745
394,6143.19,-3.68895,-60.1495
395,6171.56,-3.55547,-59.7927
396,6200.06,-3.62107,-61.6426
397,6228.7,-3.54065,-61.0622
398,6257.46,-3.57535,-61.2748
399,6286.36,-3.54727,-62.0416
400,6315.39,-3.67111,-60.9246
401,6344.56,-3.68135,-60.9567
402,6373.86,-3.63881,-61.3153
403,6403.29,-3.58824,-62.3516
404,6432.86,-3.66929,-62.6809
405,6462.57,-3.70893,-62.7346
406,6492.41,-3.68587,-62.6971
407,6522.4,-3.63907,-63.6952
408,6552.52,-3.78404,-62.4533
409,6582.78,-3.95595,-63.4676
410,6613.18,-3.70578,-64.2119
411,6643.72,-3.89953,-64.159
412,6674.4,-3.85381,-64.3818
413,6705.22,-3.8167,-64.761
414,6736.19,-3.94826,-64.1148
415,6767.3,-4.08904,-65.2185
416,6798.55,-4.10686,-65.3274
417,6829.95,-4.05046,-66.2859
418,6861.49,-4.04463,-66.0257
419,6893.17,-4.01184,-66.0194
420,6925.01,-4.00564,-66.0145
421,6956.99,-4.04365,-65.8143
422,6989.12,-4.02036,-67.5708
423,7021.39,-3.9374,-67.4502
424,7053.82,-4.0834,-66.1008
425,7086.39,-4.06542,-68.087
426,7119.12,-4.1931,-67.8359
427,7152,-4.19894,-67.7981
428,7185.02,-4.16979,-67.9609
429,7218.21,-4.29959,-68.597
430,7251.54,-4.2424,-67.5313
431,7285.03,-4.09379,-68.8825
432,7318.67,-4.34973,-68.0051
433,7352.47,-4.30905,-69.9067
434,7386.42,-4.30271,-69.2376
435,7420.53,-4.30974,-69.1381
436,7454.8,-4.36256,-69.8626
437,7489.23,-4.45029,-70.5876
438,7523.82,-4.57655,-70.0762
439,7558.56,-4.59427,-69.8553
440,7593.47,-4.54027,-71.8789
441,7628.54,-4.38669,-71.0317
442,7663.77,-4.47429,-71.2598
443,7699.16,-4.62571,-71.7596
444,7734.71,-4.60771,-71.8893
445,7770.43,-4.61362,-72.339
446,7806.32,-4.76554,-72.2388
447,7842.37,-4.80951,-73.1057
448,7878.58,-4.82584,-71.8565
449,7914.97,-4.87026,-73.2647
450,7951.52,-4.75963,-72.4855
451,7988.24,-4.80576,-73.4494
452,8025.13,-4.71072,-73.8078
453,8062.19,-4.82725,-73.9085
454,8099.43,-4.81131,-73.8989
455,8136.83,-5.02331,-74.6059
456,8174.41,-4.77144,-74.182
457,8212.16,-5.02956,-73.6783
458,8250.08,-4.85374,-74.7794
459,8288.18,-5.09945,-74.8821
460,8326.46,-5.07065,-75.5838
461,8364.91,-5.08373,-74.9135
462,8403.54,-5.14496,-76.1712
463,8442.35,-5.13158,-75.9883
464,8481.34,-5.22858,-77.2006
465,8520.5,-5.33859,-77.6074
466,8559.85,-5.33012,-75.8382
467,8599.38,-5.33523,-78.2748
468,8639.09,-5.44882,-77.4078
469,8678.99,-5.36909,-77.4942
470,8719.07,-5.49018,-78.4421
471,8759.34,-5.38093,-77.691
472,8799.79,-5.47588,-78.4053
473,8840.43,-5.47858,-79.0594
474,8881.25,-5.68632,-78.5898
475,8922.27,-5.58502,-80.3085
476,8963.47,-5.47459,-78.6402
477,9004.87,-5.76493,-80.2736
478,9046.45,-5.69554,-79.2161
479,9088.23,-5.72882,-80.0931
480,9130.2,-5.61027,-79.7227
481,9172.36,-5.7395,-80.1449
482,9214.72,-5.84192,-80.8742
483,9257.28,-5.84478,-81.3997
484,9300.03,-6.06376,-81.2927
485,9342.98,-6.1374,-81.7346
486,9386.12,-6.07617,-80.6796
487,9429.47,-5.90444,-82.5851
488,9473.02,-5.99432,-81.853
489,9516.76,-6.10299,-82.4314
490,9560.71,-6.19361,-81.9954
491,9604.86,-6.46053,-83.0576
492,9649.22,-6.41676,-83.9294
493,9693.78,-6.42072,-83.7999
494,9738.55,-6.56517,-84.0696
495,9783.52,-6.76594,-83.2338
496,9828.7,-6.5736,-83.9782
497,9874.09,-6.64185,-85.3662
498,9919.69,-6.8906,-85.655
499,9965.5,-6.87358,-84.7247
500,10011.5,-6.87535,-85.3756
501,10057.8,-6.89201,-85.9402
502,10104.2,-6.97647,-85.8447
503,10150.9,-7.05059,-85.51
504,10197.7,-7.0421,-86.2308
505,10244.8,-7.16385,-86.4064
506,10292.2,-7.09592,-86.4409
507,10339.7,-7.20482,-86.6565
508,10387.4,-7.17968,-87.3834
509,10435.4,-7.27125,-87.6189
510,10483.6,-7.32304,-87.9209
511,10532,-7.33653,-87.8327
512,10580.6,-7.44853,-87.6855
513,10629.5,-7.40124,-88.3018
514,10678.6,-7.46299,-89.0007
515,10727.9,-7.44505,-88.6102
516,10777.5,-7.54543,-89.2999
517,10827.2,-7.62885,-88.9499
518,10877.2,-7.64419,-89.4166
519,10927.5,-7.74198,-90.1624
520,10977.9,-7.71149,-89.8434
521,11028.6,-7.76878,-90.5572
522,11079.6,-7.76895,-89.9941
523,11130.7,-7.8196,-90.5826
524,11182.1,-7.88855,-90.2446
525,11233.8,-7.93846,-91.1005
526,11285.6,-7.90506,-91.2809
527,11337.8,-8.02365,-91.5764
528,11390.1,-8.02541,-91.6576
529,11442.7,-8.14798,-92.1422
530,11495.6,-8.14156,-92.185
531,11548.7,-8.25611,-92.1177
532,11602,-8.24936,-92.5707
533,11655.6,-8.31386,-92.7816
534,11709.4,-8.22689,-92.6986
535,11763.5,-8.36456,-93.3281
536,11817.8,-8.33514,-93.5733
537,11872.4,-8.43473,-93.3982
538,11927.2,-8.46998,-93.9296
539,11982.3,-8.59941,-94.4501
540,12037.6,-8.57819,-94.5584
541,12093.2,-8.69787,-94.82
542,12149,-8.58776,-94.6375
543,12205.2,-8.70021,-95.0988
544,12261.5,-8.69672,-94.9609
545,12318.1,-8.74292,-95.5529
546,12375,-8.8607,-96.093
547,12432.2,-8.82356,-95.4185
548,12489.6,-8.94849,-96.4013
549,12547.3,-8.9312,-96.259
550,12605.2,-9.06465,-96.9279
551,12663.4,-9.08142,-97.5014
552,12721.9,-9.1049,-97.1865
553,12780.7,-9.09633,-97.3899
554,12839.7,-9.19527,-98.087
555,12899,-9.25758,-97.8552
556,12958.5,-9.31605,-97.8203
557,13018.4,-9.34012,-98.6472
558,13078.5,-9.48119,-98.3022
559,13138.9,-9.42451,-98.7974
560,13199.6,-9.5231,-98.6611
561,13260.5,-9.5883,-98.6528
562,13321.8,-9.59944,-99.3107
563,13383.3,-9.61737,-99.8608
564,13445.1,-9.67496,-99.1864
565,13507.2,-9.73821,-100.088
566,13569.6,-9.74974,-99.8996
567,13632.2,-9.72119,-100.287
568,13695.2,-9.87118,-100.751
569,13758.4,-9.88997,-100.582
570,13822,-9.88731,-100.72
571,13885.8,-10.0173,-101.398
572,13949.9,-10.0001,-101.575
573,14014.4,-10.1681,-101.439
574,14079.1,-10.161,-102.015
575,14144.1,-10.2276,-102.345
576,14209.4,-10.1565,-102.699
577,14275,-10.305,-102.78
578,14341,-10.3858,-102.674
579,14407.2,-10.2877,-102.783
580,14473.7,-10.4802,-103.338
581,14540.6,-10.4147,-103.443
582,14607.7,-10.4751,-104.347
583,14675.2,-10.5829,-103.841
584,14742.9,-10.6096,-103.603
585,14811,-10.7037,-104.453
586,14879.4,-10.684,-104.702
587,14948.1,-10.6996,-104.402
588,15017.2,-10.8702,-104.997
589,15086.5,-10.8769,-105.713
590,15156.2,-11.0308,-105.874
591,15226.2,-11.0315,-105.526
592,15296.5,-11.0673,-105.292
593,15367.1,-11.0945,-106.274
594,15438.1,-11.1688,-105.942
595,15509.4,-11.0566,-106.35
596,15581,-11.2889,-106.623
597,15653,-11.2324,-107.554
598,15725.3,-11.3451,-107.096
599,15797.9,-11.4534,-107.194
600,15870.9,-11.4553,-107.658
601,15944.1,-11.5056,-107.435
602,16017.8,-11.5012,-108.75
603,16091.8,-11.5785,-108.228
604,16166.1,-11.6568,-109.096
605,16240.7,-11.7146,-108.608
606,16315.7,-11.7371,-108.366
607,16391.1,-11.8132,-109.154
608,16466.8,-11.799,-109.07
609,16542.8,-11.954,-110.269
610,16619.2,-11.999,-109.532
611,16696,-11.9356,-110.503
612,16773.1,-12.0581,-110.055
613,16850.5,-12.2008,-110.187
614,16928.3,-12.1747,-110.519
615,17006.5,-12.1836,-111.304
616,17085.1,-12.2911,-111.02
617,17164,-12.3344,-111.696
618,17243.2,-12.5091,-111.256
619,17322.8,-12.5092,-111.577
620,17402.8,-12.4875,-112.7
621,17483.2,-12.6053,-112.026
622,17564,-12.6968,-111.924
623,17645.1,-12.7093,-112.504
624,17726.6,-12.8078,-112.662
625,17808.4,-12.7537,-113.214
626,17890.7,-12.7746,-113.828
627,17973.3,-12.917,-113.36
628,18056.3,-13.0166,-113.757
629,18139.7,-13.0068,-113.582
630,18223.4,-12.9248,-114.311
631,18307.6,-13.1259,-114.219
632,18392.1,-13.0636,-114.877
633,18477.1,-13.2343,-114.559
634,18562.4,-13.3401,-114.97
635,18648.1,-13.3378,-114.866
636,18734.3,-13.3207,-115.896
637,18820.8,-13.3768,-115.437
638,18907.7,-13.5688,-115.442
639,18995,-13.4817,-115.899
640,19082.7,-13.6008,-115.196
641,19170.8,-13.5995,-116.464
642,19259.4,-13.7431,-117.088
643,19348.3,-13.7312,-116.993
644,19437.7,-13.8122,-115.899
645,19527.4,-13.9121,-116.857
646,19617.6,-14.0353,-116.974
647,19708.2,-13.9027,-117.74
648,19799.2,-14.0258,-117.658
649,19890.7,-14.1298,-118.179
650,19982.5,-14.1311,-117.978
651,20074.8,-14.17,-118.875
652,20167.5,-14.228,-118.606
653,20260.6,-14.3145,-119.345
654,20354.2,-14.3692,-118.63
655,20448.2,-14.2749,-119.327
656,20542.6,-14.4163,-119.214
657,20637.5,-14.5186,-120.361
658,20732.8,-14.5129,-119.494
659,20828.6,-14.6444,-119.884
