;Scopy version,b3d077f6
;Exported on,Saturday April 12/04/2025
;Device,M2K
;Nr of samples,2000
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,1000,-60.3264,163.941
1,1004.62,-40.9356,163.069
2,1009.26,-40.814,163.209
3,1013.92,-40.7304,163.118
4,1018.6,-40.6343,162.98
5,1023.3,-40.5058,162.999
6,1028.03,-40.4796,162.778
7,1032.78,-40.3584,162.837
8,1037.55,-40.2779,162.629
9,1042.34,-40.1806,162.654
10,1047.15,-40.136,162.872
11,1051.99,-40.0147,162.545
12,1056.85,-39.9654,162.586
13,1061.73,-39.9252,162.677
14,1066.63,-39.78,162.472
15,1071.56,-39.711,162.205
16,1076.5,-39.6494,162.318
17,1081.48,-39.5815,162.191
18,1086.47,-39.4516,162.442
19,1091.49,-39.3421,162.299
20,1096.53,-39.3334,162.025
21,1101.59,-39.1866,162.207
22,1106.68,-39.1134,162.065
23,1111.79,-39.0025,161.943
24,1116.93,-38.9077,162.108
25,1122.08,-38.8668,162.011
26,1127.26,-38.7342,161.541
27,1132.47,-38.7174,161.967
28,1137.7,-38.5544,161.631
29,1142.95,-38.5002,161.404
30,1148.23,-38.4149,161.393
31,1153.54,-38.3148,161.43
32,1158.86,-38.2651,161.264
33,1164.21,-38.1902,161.156
34,1169.59,-38.1506,161.29
35,1174.99,-37.999,161.049
36,1180.42,-37.9686,161.038
37,1185.87,-37.9114,160.961
38,1191.35,-37.8033,161.005
39,1196.85,-37.7119,161.038
40,1202.38,-37.7,160.772
41,1207.93,-37.5926,160.98
42,1213.51,-37.5255,160.985
43,1219.11,-37.4439,160.637
44,1224.74,-37.3102,160.653
45,1230.4,-37.299,160.597
46,1236.08,-37.1939,160.408
47,1241.79,-37.0874,160.534
48,1247.52,-37.0502,160.368
49,1253.28,-37.003,160.497
50,1259.07,-36.9476,160.326
51,1264.88,-36.8122,160.031
52,1270.73,-36.7793,160.219
53,1276.59,-36.6782,159.984
54,1282.49,-36.633,159.963
55,1288.41,-36.4869,159.73
56,1294.36,-36.4413,160.076
57,1300.34,-36.3647,159.973
58,1306.35,-36.2462,159.712
59,1312.38,-36.2036,159.743
60,1318.44,-36.1505,159.776
61,1324.53,-36.0063,159.693
62,1330.64,-35.9429,159.595
63,1336.79,-35.9026,159.282
64,1342.96,-35.82,159.055
65,1349.16,-35.6956,159.131
66,1355.4,-35.6398,159.065
67,1361.65,-35.5334,159.07
68,1367.94,-35.4645,159.01
69,1374.26,-35.4244,159.128
70,1380.61,-35.3242,158.664
71,1386.98,-35.2339,158.692
72,1393.39,-35.1774,158.605
73,1399.82,-35.1064,158.665
74,1406.29,-35.0315,158.494
75,1412.78,-34.9901,158.402
76,1419.31,-34.8739,158.228
77,1425.86,-34.7971,158.308
78,1432.45,-34.7496,158.081
79,1439.06,-34.6563,157.944
80,1445.71,-34.5571,158.201
81,1452.38,-34.5125,157.942
82,1459.09,-34.4075,158.026
83,1465.83,-34.3471,157.951
84,1472.6,-34.2859,157.662
85,1479.4,-34.1733,157.655
86,1486.23,-34.119,157.73
87,1493.09,-34.07,158.175
88,1499.99,-33.9688,157.731
89,1506.92,-33.8982,157.258
90,1513.88,-33.7921,157.464
91,1520.87,-33.7406,157.205
92,1527.89,-33.6864,157.051
93,1534.95,-33.5759,157.127
94,1542.03,-33.4731,157.135
95,1549.16,-33.4105,157.049
96,1556.31,-33.3291,156.82
97,1563.5,-33.2296,156.813
98,1570.72,-33.1523,156.574
99,1577.97,-33.1344,156.59
100,1585.26,-32.9997,156.509
101,1592.58,-32.9589,156.328
102,1599.93,-32.8664,156.421
103,1607.32,-32.7941,156.424
104,1614.75,-32.7301,155.968
105,1622.2,-32.6386,156.17
106,1629.69,-32.5684,155.882
107,1637.22,-32.4751,155.974
108,1644.78,-32.4103,155.809
109,1652.38,-32.333,155.825
110,1660.01,-32.2944,155.61
111,1667.67,-32.158,155.642
112,1675.38,-32.1243,155.702
113,1683.11,-32.0179,155.323
114,1690.88,-31.9201,155.289
115,1698.69,-31.8595,155.281
116,1706.54,-31.7645,155.286
117,1714.42,-31.7188,154.986
118,1722.34,-31.6461,155.076
119,1730.29,-31.5907,155.328
120,1738.28,-31.4769,154.837
121,1746.31,-31.408,154.661
122,1754.37,-31.3326,154.606
123,1762.48,-31.2771,154.454
124,1770.61,-31.1552,154.54
125,1778.79,-31.118,154.618
126,1787.01,-31.0299,154.586
127,1795.26,-30.9801,154.37
128,1803.55,-30.9581,154.187
129,1811.88,-30.8314,154.06
130,1820.25,-30.8129,154.206
131,1828.65,-30.6176,153.87
132,1837.1,-30.5887,154.236
133,1845.58,-30.4988,153.959
134,1854.1,-30.5037,153.987
135,1862.67,-30.345,153.771
136,1871.27,-30.2441,153.26
137,1879.91,-30.1591,153.601
138,1888.59,-30.1536,153.04
139,1897.31,-29.9906,153.02
140,1906.08,-29.9108,152.973
141,1914.88,-29.8451,152.806
142,1923.72,-29.8699,152.764
143,1932.6,-29.7044,152.573
144,1941.53,-29.6122,152.637
145,1950.5,-29.5728,152.322
146,1959.5,-29.4647,152.442
147,1968.55,-29.4417,152.184
148,1977.64,-29.3194,152.383
149,1986.78,-29.2976,152.056
