;Scopy version,b3d077f6
;Exported on,Thursday April 17/04/2025
;Device,M2K
;Nr of samples,1000
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,100,-41.0519,-99.1861
1,101.159,-40.6542,-96.9526
2,102.332,-40.2861,-91.8582
3,103.518,-39.438,-98.3402
4,104.718,-39.8519,-97.5236
5,105.931,-40.353,-89.0216
6,107.159,-39.1182,-86.8103
7,108.401,-39.4017,-87.2645
8,109.658,-39.1682,-92.6659
9,110.929,-38.7947,-95.3681
10,112.215,-39.4604,-93.4622
11,113.515,-39.239,-90.4228
12,114.831,-38.8297,-92.9169
13,116.162,-39.0602,-94.1454
14,117.509,-39.2221,-93.168
15,118.871,-38.7275,-92.7609
16,120.249,-39.0669,-93.618
17,121.642,-38.7553,-91.1873
18,123.052,-38.4173,-90.9299
19,124.479,-38.4334,-93.5221
20,125.922,-38.395,-94.3068
21,127.381,-38.7644,-90.9676
22,128.858,-38.3993,-94.0305
23,130.351,-37.7578,-91.5187
24,131.862,-37.6369,-93.6549
25,133.391,-38.0883,-94.0759
26,134.937,-38.1832,-91.5713
27,136.501,-37.9434,-90.1028
28,138.083,-37.9961,-90.0848
29,139.684,-37.6802,-92.1651
30,141.303,-37.8642,-94.1347
31,142.94,-37.3487,-95.7006
32,144.597,-37.6289,-96.5666
33,146.273,-37.7482,-89.2758
34,147.969,-37.5872,-90.6363
35,149.684,-37.3617,-95.0129
36,151.419,-37.3101,-94.4523
37,153.174,-36.7014,-93.2391
38,154.95,-37.283,-89.4219
39,156.746,-37.4729,-89.9473
40,158.562,-37.073,-93.9165
41,160.4,-36.821,-91.9414
42,162.26,-36.9246,-92.0855
43,164.14,-36.9772,-94.3484
44,166.043,-37.3982,-93.4167
45,167.967,-36.9639,-92.3484
46,169.914,-36.7573,-93.4829
47,171.884,-36.6696,-91.979
48,173.876,-36.1913,-93.9125
49,175.892,-36.1915,-93.7976
50,177.93,-36.2999,-92.0264
51,179.993,-35.5107,-91.1114
52,182.079,-35.7705,-92.615
53,184.19,-36.1609,-93.5879
54,186.325,-35.7571,-91.1945
55,188.484,-35.9336,-93.0497
