Freq.	V(n002)
1.00000000000000e+03	(-3.42490487147465e+00dB,-1.02091381691829e+02°)
1.00230523807790e+03	(-3.40549260135351e+00dB,-1.02118843014741e+02°)
1.00461579027840e+03	(-3.38608297360761e+00dB,-1.02146364847652e+02°)
1.00693166885180e+03	(-3.36667599979968e+00dB,-1.02173947311374e+02°)
1.00925288607668e+03	(-3.34727169154010e+00dB,-1.02201590526890e+02°)
1.01157945425990e+03	(-3.32787006048728e+00dB,-1.02229294615330e+02°)
1.01391138573668e+03	(-3.30847111834760e+00dB,-1.02257059697990e+02°)
1.01624869287070e+03	(-3.28907487687579e+00dB,-1.02284885896312e+02°)
1.01859138805412e+03	(-3.26968134787499e+00dB,-1.02312773331899e+02°)
1.02093948370768e+03	(-3.25029054319696e+00dB,-1.02340722126508e+02°)
1.02329299228075e+03	(-3.23090247474223e+00dB,-1.02368732402048e+02°)
1.02565192625141e+03	(-3.21151715446027e+00dB,-1.02396804280587e+02°)
1.02801629812647e+03	(-3.19213459434975e+00dB,-1.02424937884342e+02°)
1.03038612044162e+03	(-3.17275480645856e+00dB,-1.02453133335688e+02°)
1.03276140576140e+03	(-3.15337780288414e+00dB,-1.02481390757147e+02°)
1.03514216667934e+03	(-3.13400359577358e+00dB,-1.02509710271395e+02°)
1.03752841581801e+03	(-3.11463219732377e+00dB,-1.02538092001264e+02°)
1.03992016582906e+03	(-3.09526361978159e+00dB,-1.02566536069736e+02°)
1.04231742939330e+03	(-3.07589787544416e+00dB,-1.02595042599942e+02°)
1.04472021922080e+03	(-3.05653497665899e+00dB,-1.02623611715160e+02°)
1.04712854805090e+03	(-3.03717493582402e+00dB,-1.02652243538828e+02°)
1.04954242865232e+03	(-3.01781776538801e+00dB,-1.02680938194525e+02°)
1.05196187382322e+03	(-2.99846347785055e+00dB,-1.02709695805982e+02°)
1.05438689639126e+03	(-2.97911208576236e+00dB,-1.02738516497077e+02°)
1.05681750921366e+03	(-2.95976360172533e+00dB,-1.02767400391843e+02°)
1.05925372517729e+03	(-2.94041803839289e+00dB,-1.02796347614450e+02°)
1.06169555719872e+03	(-2.92107540846997e+00dB,-1.02825358289224e+02°)
1.06414301822431e+03	(-2.90173572471340e+00dB,-1.02854432540630e+02°)
1.06659612123026e+03	(-2.88239899993190e+00dB,-1.02883570493285e+02°)
1.06905487922266e+03	(-2.86306524698631e+00dB,-1.02912772271954e+02°)
1.07151930523760e+03	(-2.84373447878997e+00dB,-1.02942038001532e+02°)
1.07398941234124e+03	(-2.82440670830855e+00dB,-1.02971367807076e+02°)
